game_pk,condition,temp,wind,venue,venue_id
716884,Sunny,82,"8 mph, Out To RF",Oakland Coliseum,10
717089,Cloudy,69,"3 mph, R To L",Fenway Park,3
717156,Cloudy,83,"9 mph, In From RF",Kauffman Stadium,7
717393,Partly Cloudy,88,"9 mph, L To R",Kauffman Stadium,7
717977,Roof Closed,75,"0 mph, None",Chase Field,15
718357,Partly Cloudy,63,"14 mph, Out To RF",Oakland Coliseum,10
718526,Clear,66,"11 mph, Out To LF",Great American Ball Park,2602
716939,Clear,74,"1 mph, In From RF",Progressive Field,5
717033,Partly Cloudy,80,"4 mph, R To L",Fenway Park,3
717103,Cloudy,74,"12 mph, L To R",Comerica Park,2394
717178,Cloudy,75,"6 mph, Out To CF",PNC Park,31
718622,Roof Closed,68,"0 mph, None",Rogers Centre,14
717047,Roof Closed,72,"0 mph, None",loanDepot park,4169
717202,Roof Closed,72,"0 mph, None",loanDepot park,4169
717569,Partly Cloudy,77,"9 mph, Out To CF",Fenway Park,3
717653,Roof Closed,72,"0 mph, None",loanDepot park,4169
717786,Clear,76,"3 mph, Out To RF",T-Mobile Park,680
718015,Cloudy,64,"9 mph, Out To CF",Angel Stadium,1
718153,Roof Closed,72,"0 mph, None",loanDepot park,4169
718236,Partly Cloudy,91,"4 mph, In From LF",Chase Field,15
718308,Roof Closed,72,"0 mph, None",loanDepot park,4169
718460,Cloudy,46,"13 mph, L To R",Progressive Field,5
717222,Roof Closed,68,"0 mph, None",Rogers Centre,14
717281,Sunny,77,"4 mph, Out To RF",T-Mobile Park,680
718102,Overcast,59,"11 mph, L To R",Rogers Centre,14
718164,Clear,72,"16 mph, L To R",Rogers Centre,14
716804,Cloudy,67,"5 mph, Out To CF",T-Mobile Park,680
718146,Clear,70,"7 mph, Out To RF",Oakland Coliseum,10
718232,Sunny,65,"5 mph, Out To RF",Yankee Stadium,3313
718377,Partly Cloudy,63,"9 mph, Out To RF",Oakland Coliseum,10
718536,Partly Cloudy,56,"15 mph, Out To RF",Oakland Coliseum,10
718618,Partly Cloudy,76,"5 mph, Out To RF",Oriole Park at Camden Yards,2
718689,Partly Cloudy,57,"7 mph, Out To RF",Oakland Coliseum,10
716959,Partly Cloudy,71,"13 mph, L To R",Progressive Field,5
717728,Cloudy,81,"10 mph, Out To CF",Target Field,3312
718173,Partly Cloudy,66,"10 mph, L To R",Comerica Park,2394
718261,Cloudy,55,"6 mph, R To L",Progressive Field,5
717384,Cloudy,81,"2 mph, Out To RF",Oriole Park at Camden Yards,2
718385,Overcast,49,"6 mph, In From RF",Fenway Park,3
718646,Sunny,52,"7 mph, In From CF",Progressive Field,5
716511,Clear,95,"3 mph, Out To RF",Chase Field,15
716805,Clear,83,"6 mph, L To R",Dodger Stadium,22
717337,Partly Cloudy,90,"10 mph, R To L",Truist Park,4705
717522,Sunny,80,"6 mph, Out To RF",Angel Stadium,1
717593,Roof Closed,78,"0 mph, None",Chase Field,15
717804,Cloudy,67,"12 mph, Out To RF",Comerica Park,2394
718118,Cloudy,74,"9 mph, Out To LF",PNC Park,31
716655,Partly Cloudy,76,"8 mph, L To R",Great American Ball Park,2602
716733,Partly Cloudy,89,"7 mph, In From RF",Busch Stadium,2889
716886,Cloudy,76,"6 mph, Out To RF",PNC Park,31
716851,Roof Closed,78,"0 mph, None",Chase Field,15
718601,Clear,75,"7 mph, L To R",Truist Park,4705
716549,Sunny,71,"2 mph, In From RF",Progressive Field,5
716871,Partly Cloudy,78,"7 mph, Out To RF",Progressive Field,5
716956,Partly Cloudy,72,"19 mph, L To R",Progressive Field,5
717024,Dome,72,"0 mph, None",Tropicana Field,12
717249,Sunny,86,"6 mph, In From CF",Progressive Field,5
717512,Clear,78,"2 mph, In From CF",Progressive Field,5
716821,Roof Closed,78,"0 mph, None",Chase Field,15
716992,Partly Cloudy,72,"12 mph, Varies",Great American Ball Park,2602
717194,Sunny,82,"4 mph, Out To CF",Dodger Stadium,22
717412,Partly Cloudy,91,"8 mph, Varies",Great American Ball Park,2602
717493,Partly Cloudy,86,"1 mph, Out To LF",Nationals Park,3309
717631,Partly Cloudy,86,"9 mph, Out To LF",Great American Ball Park,2602
718212,Partly Cloudy,83,"13 mph, In From LF",loanDepot park,4169
718566,Partly Cloudy,79,"8 mph, Varies",Great American Ball Park,2602
718636,Clear,65,"9 mph, L To R",Truist Park,4705
718700,Sunny,80,"3 mph, Varies",Great American Ball Park,2602
716676,Partly Cloudy,89,"14 mph, In From LF",Nationals Park,3309
717816,Partly Cloudy,86,"5 mph, L To R",Truist Park,4705
717914,Cloudy,79,"14 mph, In From RF",Nationals Park,3309
718282,Clear,85,"9 mph, L To R",Chase Field,15
718412,Partly Cloudy,54,"9 mph, Out To LF",Citi Field,3289
718518,Clear,74,"2 mph, Out To LF",Nationals Park,3309
718673,Partly Cloudy,64,"5 mph, In From LF",Coors Field,19
718743,Sunny,54,"10 mph, Out To RF",Nationals Park,3309
718479,Overcast,41,"14 mph, Out To RF",Wrigley Field,17
716536,Roof Closed,78,"0 mph, None",Chase Field,15
716615,Partly Cloudy,78,"6 mph, Out To LF",Citi Field,3289
717901,Roof Closed,76,"0 mph, None",Chase Field,15
718060,Clear,69,"10 mph, In From RF",Citizens Bank Park,2681
718199,Clear,93,"4 mph, R To L",Chase Field,15
718639,Sunny,86,"5 mph, Calm",Chase Field,15
718722,Partly Cloudy,56,"16 mph, Out To RF",Petco Park,2680
716482,Roof Closed,72,"0 mph, None",loanDepot park,4169
716559,Roof Closed,74,"8 mph, In From RF",American Family Field,32
716718,Partly Cloudy,86,"10 mph, Out To CF",PNC Park,31
717262,Clear,85,"10 mph, L To R",American Family Field,32
717459,Roof Closed,77,"0 mph, None",American Family Field,32
717540,Cloudy,80,"7 mph, R To L",PNC Park,31
717931,Clear,92,"8 mph, In From LF",Great American Ball Park,2602
718131,Partly Cloudy,78,"4 mph, In From LF",Busch Stadium,2889
718204,Roof Closed,70,"0 mph, None",American Family Field,32
718376,Roof Closed,66,"0 mph, None",American Family Field,32
718461,Roof Closed,61,"0 mph, None",American Family Field,32
716537,Partly Cloudy,64,"5 mph, Out To CF",T-Mobile Park,680
716623,Clear,69,"4 mph, L To R",T-Mobile Park,680
716693,Partly Cloudy,83,"10 mph, R To L",Great American Ball Park,2602
716769,Clear,72,"6 mph, Out To LF",Citi Field,3289
717072,Clear,78,"4 mph, L To R",T-Mobile Park,680
717161,Sunny,77,"5 mph, In From LF",T-Mobile Park,680
717223,Roof Closed,78,"0 mph, None",Chase Field,15
717509,Sunny,69,"11 mph, Out To CF",Oracle Park,2395
718025,Clear,76,"2 mph, Out To RF",T-Mobile Park,680
718094,Cloudy,75,"6 mph, Out To RF",Truist Park,4705
718319,Overcast,53,"8 mph, Out To RF",Oakland Coliseum,10
717291,Dome,72,"0 mph, None",Tropicana Field,12
717601,Cloudy,73,"5 mph, Out To LF",Oriole Park at Camden Yards,2
717677,Dome,72,"0 mph, None",Tropicana Field,12
717974,Overcast,81,"3 mph, In From RF",Oriole Park at Camden Yards,2
718193,Overcast,67,"5 mph, Out To RF",Oriole Park at Camden Yards,2
718277,Partly Cloudy,73,"6 mph, In From RF",Truist Park,4705
716414,Overcast,64,"9 mph, Out To LF",Comerica Park,2394
716734,Sunny,90,"6 mph, R To L",Guaranteed Rate Field,4
717494,Clear,86,"10 mph, Out To RF",Comerica Park,2394
718661,Cloudy,52,"2 mph, In From LF",Citi Field,3289
718741,Roof Closed,72,"0 mph, None",loanDepot park,4169
716418,Cloudy,71,"1 mph, In From RF",Progressive Field,5
717719,Roof Closed,78,"0 mph, None",Chase Field,15
717946,Sunny,79,"6 mph, Out To LF",Oriole Park at Camden Yards,2
718022,Clear,63,"14 mph, In From CF",Progressive Field,5
718707,Partly Cloudy,54,"13 mph, Varies",Oakland Coliseum,10
717550,Cloudy,76,"5 mph, Out To LF",Busch Stadium,2889
717796,Partly Cloudy,61,"9 mph, Out To CF",Oracle Park,2395
717163,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
717467,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
717626,Sunny,76,"6 mph, Out To RF",Dodger Stadium,22
717936,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
716504,Sunny,69,"5 mph, Out To RF",Oakland Coliseum,10
716568,Clear,77,"5 mph, Varies",T-Mobile Park,680
716671,Dome,72,"0 mph, None",Tropicana Field,12
716964,Sunny,82,"10 mph, L To R",Kauffman Stadium,7
717627,Sunny,85,"6 mph, In From RF",Oriole Park at Camden Yards,2
718090,Cloudy,77,"5 mph, L To R",Truist Park,4705
718720,Partly Cloudy,45,"2 mph, L To R",T-Mobile Park,680
716648,Overcast,71,"5 mph, Out To RF",Comerica Park,2394
716864,Clear,91,"13 mph, Out To LF",Guaranteed Rate Field,4
717108,Partly Cloudy,81,"3 mph, R To L",Progressive Field,5
716633,Partly Cloudy,88,"4 mph, R To L",Angel Stadium,1
716713,Clear,74,"8 mph, Out To CF",Angel Stadium,1
716651,Partly Cloudy,80,"4 mph, Calm",Truist Park,4705
717046,Cloudy,83,"7 mph, Out To LF",PNC Park,31
717620,Roof Closed,72,"0 mph, None",loanDepot park,4169
717812,Partly Cloudy,81,"10 mph, Out To LF",PNC Park,31
717884,Clear,73,"7 mph, Out To CF",PNC Park,31
718213,Partly Cloudy,82,"7 mph, In From LF",Oriole Park at Camden Yards,2
718509,Cloudy,55,"9 mph, R To L",Coors Field,19
718724,Clear,50,"6 mph, Out To LF",Fenway Park,3
717526,Partly Cloudy,82,"13 mph, R To L",Great American Ball Park,2602
716487,Partly Cloudy,80,"8 mph, Varies",Great American Ball Park,2602
716677,Cloudy,77,"6 mph, Out To RF",Great American Ball Park,2602
716823,Clear,67,"17 mph, Out To CF",Oracle Park,2395
716890,Sunny,85,"8 mph, Out To CF",Angel Stadium,1
717120,Cloudy,87,"8 mph, In From CF",Great American Ball Park,2602
717669,Partly Cloudy,75,"12 mph, Varies",Great American Ball Park,2602
716605,Sunny,66,"7 mph, Out To CF",Oracle Park,2395
717577,Clear,96,"13 mph, R To L",Kauffman Stadium,7
717660,Cloudy,71,"7 mph, R To L",Progressive Field,5
717750,Partly Cloudy,68,"9 mph, L To R",Petco Park,2680
716354,Partly Cloudy,81,"6 mph, L To R",Truist Park,4705
716600,Partly Cloudy,70,"8 mph, Out To RF",PNC Park,31
716371,Overcast,66,"9 mph, R To L",Angel Stadium,1
716470,Partly Cloudy,67,"7 mph, Out To RF",Oakland Coliseum,10
716729,Partly Cloudy,84,"1 mph, Out To RF",Progressive Field,5
717214,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
717441,Dome,72,"0 mph, None",Tropicana Field,12
718449,Dome,72,"0 mph, None",Tropicana Field,12
716422,Clear,75,"5 mph, Out To CF",Angel Stadium,1
716903,Clear,76,"7 mph, Out To CF",Angel Stadium,1
717297,Partly Cloudy,79,"9 mph, Out To CF",Angel Stadium,1
717437,Clear,73,"7 mph, Out To CF",Dodger Stadium,22
718559,Cloudy,54,"3 mph, R To L",Fenway Park,3
716888,Clear,72,"11 mph, Out To RF",Oakland Coliseum,10
718347,Dome,72,"0 mph, None",Tropicana Field,12
716369,Partly Cloudy,81,"2 mph, L To R",Truist Park,4705
716467,Cloudy,67,"0 mph, Calm",Nationals Park,3309
716701,Clear,97,"1 mph, In From RF",Nationals Park,3309
716503,Roof Closed,72,"0 mph, None",loanDepot park,4169
717241,Clear,90,"6 mph, Out To RF",Citi Field,3289
717324,Cloudy,75,"2 mph, Out To LF",Fenway Park,3
717477,Roof Closed,78,"0 mph, None",Chase Field,15
718135,Clear,60,"11 mph, In From LF",Citi Field,3289
718223,Partly Cloudy,76,"6 mph, In From CF",Great American Ball Park,2602
717570,Roof Closed,74,"0 mph, None",Globe Life Field,5325
717990,Partly Cloudy,71,"3 mph, Out To RF",Oriole Park at Camden Yards,2
717785,Clear,90,"3 mph, L To R",Chase Field,15
718366,Partly Cloudy,72,"7 mph, In From CF",Coors Field,19
717095,Cloudy,74,"10 mph, R To L",PNC Park,31
717479,Clear,69,"7 mph, Out To CF",Dodger Stadium,22
717371,Drizzle,67,"9 mph, R To L",PNC Park,31
717361,Clear,87,"8 mph, L To R",Oriole Park at Camden Yards,2
717242,Partly Cloudy,85,"9 mph, Out To CF",Fenway Park,3
717770,Partly Cloudy,66,"9 mph, Out To LF",Comerica Park,2394
717992,Partly Cloudy,77,"11 mph, Out To LF",Truist Park,4705
718057,Cloudy,70,"8 mph, L To R",Truist Park,4705
718283,Overcast,73,"5 mph, L To R",Truist Park,4705
718352,Partly Cloudy,59,"15 mph, Out To RF",Citi Field,3289
718753,Partly Cloudy,73,"18 mph, Out To LF",Nationals Park,3309
718598,Roof Closed,72,"0 mph, None",Chase Field,15
716355,Sunny,77,"10 mph, In From LF",Citi Field,3289
718431,Partly Cloudy,57,"4 mph, Out To RF",Citi Field,3289
718546,Partly Cloudy,59,"15 mph, Varies",Oakland Coliseum,10
716363,Partly Cloudy,64,"5 mph, Out To CF",Oracle Park,2395
716494,Partly Cloudy,68,"6 mph, L To R",Dodger Stadium,22
717225,Clear,79,"7 mph, L To R",Dodger Stadium,22
717553,Cloudy,97,"6 mph, Out To RF",Kauffman Stadium,7
717010,Dome,72,"0 mph, None",Tropicana Field,12
717858,Overcast,65,"7 mph, In From CF",Progressive Field,5
717918,Drizzle,52,"8 mph, L To R",Fenway Park,3
717994,Dome,72,"0 mph, None",Tropicana Field,12
716527,Clear,67,"13 mph, Varies",Oakland Coliseum,10
716914,Partly Cloudy,78,"7 mph, Out To RF",Oakland Coliseum,10
717435,Cloudy,80,"12 mph, In From RF",Fenway Park,3
717958,Partly Cloudy,60,"12 mph, Out To RF",Oakland Coliseum,10
718098,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
717614,Overcast,86,"6 mph, In From RF",Guaranteed Rate Field,4
716581,Sunny,68,"2 mph, Out To CF",Coors Field,19
716747,Roof Closed,78,"0 mph, None",Chase Field,15
716507,Roof Closed,74,"0 mph, None",Globe Life Field,5325
716652,Rain,73,"3 mph, In From RF",Fenway Park,3
716873,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
716953,Partly Cloudy,78,"15 mph, Out To RF",Yankee Stadium,3313
717167,Clear,77,"10 mph, L To R",T-Mobile Park,680
717344,Sunny,69,"9 mph, Out To RF",Oakland Coliseum,10
718133,Clear,53,"18 mph, Out To RF",Fenway Park,3
718220,Partly Cloudy,81,"6 mph, L To R",Truist Park,4705
717299,Partly Cloudy,80,"8 mph, L To R",Comerica Park,2394
716489,Clear,73,"15 mph, In From RF",Progressive Field,5
717372,Clear,89,"8 mph, Out To CF",Oriole Park at Camden Yards,2
716434,Overcast,61,"14 mph, In From CF",Oriole Park at Camden Yards,2
716513,Partly Cloudy,75,"5 mph, Out To RF",Nationals Park,3309
717307,Partly Cloudy,84,"4 mph, In From CF",Nationals Park,3309
717829,Clear,83,"7 mph, R To L",Truist Park,4705
718089,Sunny,72,"11 mph, In From LF",Nationals Park,3309
718230,Cloudy,57,"15 mph, Out To CF",Oracle Park,2395
718367,Overcast,62,"2 mph, L To R",Nationals Park,3309
717005,Sunny,82,"11 mph, L To R",T-Mobile Park,680
717475,Clear,85,"9 mph, R To L",Yankee Stadium,3313
716372,Clear,86,"8 mph, In From RF",Busch Stadium,2889
716515,Partly Cloudy,81,"14 mph, R To L",Busch Stadium,2889
716744,Clear,87,"10 mph, R To L",Busch Stadium,2889
716386,Cloudy,69,"8 mph, Out To CF",Angel Stadium,1
716840,Clear,82,"2 mph, Out To LF",Citi Field,3289
717101,Sunny,90,"11 mph, Out To CF",Angel Stadium,1
716584,Sunny,67,"2 mph, R To L",Comerica Park,2394
717373,Sunny,76,"5 mph, L To R",T-Mobile Park,680
716388,Clear,80,"5 mph, In From CF",Busch Stadium,2889
716451,Sunny,77,"8 mph, L To R",Great American Ball Park,2602
716617,Partly Cloudy,69,"9 mph, Out To LF",Comerica Park,2394
717097,Cloudy,75,"11 mph, R To L",Great American Ball Park,2602
717303,Partly Cloudy,83,"7 mph, In From LF",Great American Ball Park,2602
717481,Cloudy,88,"4 mph, Out To LF",Nationals Park,3309
716712,Partly Cloudy,89,"10 mph, Varies",Great American Ball Park,2602
718037,Clear,67,"9 mph, L To R",T-Mobile Park,680
718110,Partly Cloudy,74,"6 mph, L To R",Truist Park,4705
718332,Cloudy,54,"7 mph, Out To LF",Oakland Coliseum,10
717492,Clear,73,"7 mph, L To R",Dodger Stadium,22
716378,Cloudy,75,"7 mph, In From LF",PNC Park,31
717002,Cloudy,81,"9 mph, Out To LF",Citi Field,3289
716462,Clear,75,"8 mph, L To R",Great American Ball Park,2602
718072,Cloudy,66,"12 mph, In From CF",Progressive Field,5
716484,Partly Cloudy,67,"6 mph, Out To RF",Dodger Stadium,22
716741,Cloudy,76,"4 mph, L To R",Dodger Stadium,22
717731,Clear,69,"7 mph, Out To CF",Dodger Stadium,22
716472,Clear,63,"12 mph, Varies",Oakland Coliseum,10
716448,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
717355,Partly Cloudy,88,"9 mph, Out To LF",Coors Field,19
717938,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
718414,Dome,72,"0 mph, None",Tropicana Field,12
718489,Overcast,75,"7 mph, L To R",Truist Park,4705
718562,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
716774,Clear,82,"5 mph, L To R",Dodger Stadium,22
717711,Partly Cloudy,72,"9 mph, R To L",Target Field,3312
718175,Cloudy,60,"10 mph, In From LF",Target Field,3312
716909,Partly Cloudy,79,"4 mph, L To R",Dodger Stadium,22
717911,Roof Closed,72,"0 mph, None",loanDepot park,4169
716727,Partly Cloudy,92,"7 mph, In From RF",Great American Ball Park,2602
717210,Roof Closed,78,"0 mph, None",Chase Field,15
716812,Partly Cloudy,79,"3 mph, R To L",Coors Field,19
716417,Cloudy,68,"8 mph, L To R",Guaranteed Rate Field,4
717151,Overcast,62,"15 mph, Out To CF",Oracle Park,2395
716622,Partly Cloudy,76,"4 mph, L To R",Dodger Stadium,22
716699,Sunny,80,"15 mph, Out To CF",Wrigley Field,17
716842,Cloudy,79,"6 mph, Out To CF",PNC Park,31
716399,Partly Cloudy,72,"1 mph, L To R",Truist Park,4705
744872,Overcast,56,"3 mph, Out To LF",Nationals Park,3309
745250,Roof Closed,54,"0 mph, None",T-Mobile Park,680
745540,Partly Cloudy,86,"6 mph, Out To CF",Citizens Bank Park,2681
745663,Cloudy,56,"18 mph, Out To RF",Oakland Coliseum,10
745752,Partly Cloudy,73,"11 mph, Out To LF",Yankee Stadium,3313
746177,Clear,72,"8 mph, R To L",Angel Stadium,1
746216,Overcast,72,"7 mph, Out To CF",Angel Stadium,1
746340,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
746345,Roof Closed,0,"0 mph, None",Minute Maid Park,2392
746350,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
746382,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
746389,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
746399,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
746476,Sunny,66,"4 mph, R To L",Comerica Park,2394
746578,Overcast,73,"7 mph, In From CF",Progressive Field,5
746668,Sunny,79,"11 mph, Out To CF",Great American Ball Park,2602
746887,Sunny,53,"9 mph, R To L",Wrigley Field,17
745599,Partly Cloudy,61,"14 mph, Out To RF",Citizens Bank Park,2681
744848,Partly Cloudy,83,"8 mph, L To R",Nationals Park,3309
745302,Clear,65,"14 mph, Out To CF",Oracle Park,2395
745531,Cloudy,81,"13 mph, R To L",Citizens Bank Park,2681
745731,Cloudy,80,"8 mph, R To L",Yankee Stadium,3313
745827,Drizzle,51,"6 mph, In From RF",Citi Field,3289
746013,Roof Closed,72,"0 mph, None",loanDepot park,4169
746079,Partly Cloudy,80,"13 mph, In From LF",loanDepot park,4169
746152,Clear,64,"9 mph, Out To RF",Dodger Stadium,22
746186,Sunny,83,"9 mph, Out To LF",Angel Stadium,1
746817,Cloudy,46,"13 mph, L To R",Guaranteed Rate Field,4
746875,Partly Cloudy,88,"22 mph, Out To LF",Wrigley Field,17
747061,Partly Cloudy,76,"8 mph, Out To LF",Truist Park,4705
747071,Partly Cloudy,78,"11 mph, L To R",Truist Park,4705
747075,Partly Cloudy,80,"9 mph, Out To RF",Truist Park,4705
747077,Clear,84,"6 mph, R To L",Truist Park,4705
747090,Clear,83,"8 mph, Out To RF",Truist Park,4705
747092,Partly Cloudy,89,"7 mph, R To L",Truist Park,4705
747093,Cloudy,77,"1 mph, Calm",Truist Park,4705
747103,Cloudy,89,"6 mph, In From LF",Truist Park,4705
747105,Partly Cloudy,88,"8 mph, L To R",Truist Park,4705
747110,Cloudy,77,"8 mph, In From RF",Truist Park,4705
747113,Sunny,94,"2 mph, R To L",Truist Park,4705
747118,Partly Cloudy,83,"11 mph, R To L",Truist Park,4705
747123,Partly Cloudy,78,"5 mph, Out To LF",Truist Park,4705
747131,Partly Cloudy,73,"10 mph, L To R",Truist Park,4705
747135,Partly Cloudy,69,"8 mph, Out To LF",Truist Park,4705
747142,Cloudy,73,"9 mph, L To R",Truist Park,4705
747179,Roof Closed,78,"0 mph, None",Chase Field,15
744984,Roof Closed,74,"0 mph, None",Globe Life Field,5325
744996,Roof Closed,74,"0 mph, None",Globe Life Field,5325
745000,Roof Closed,74,"0 mph, None",Globe Life Field,5325
745149,Cloudy,82,"6 mph, Out To RF",Busch Stadium,2889
745209,Roof Closed,57,"3 mph, In From CF",T-Mobile Park,680
746206,Clear,81,"8 mph, Out To CF",Angel Stadium,1
746370,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
747017,Partly Cloudy,81,"11 mph, R To L",Oriole Park at Camden Yards,2
746267,Clear,76,"11 mph, In From RF",Kauffman Stadium,7
746429,Clear,75,"7 mph, Out To LF",Comerica Park,2394
745122,Clear,85,"5 mph, R To L",Busch Stadium,2889
745127,Partly Cloudy,86,"7 mph, In From RF",Busch Stadium,2889
745152,Sunny,88,"10 mph, Out To CF",Busch Stadium,2889
745154,Sunny,81,"9 mph, In From LF",Busch Stadium,2889
745160,Clear,92,"9 mph, In From RF",Busch Stadium,2889
745168,Sunny,89,"9 mph, In From RF",Busch Stadium,2889
745169,Clear,87,"6 mph, In From LF",Busch Stadium,2889
745180,Overcast,86,"21 mph, Out To LF",Busch Stadium,2889
745183,Sunny,81,"7 mph, R To L",Busch Stadium,2889
745191,Clear,66,"13 mph, Out To LF",Busch Stadium,2889
745196,Drizzle,57,"8 mph, L To R",Busch Stadium,2889
745200,Overcast,49,"15 mph, Out To RF",Busch Stadium,2889
745475,Partly Cloudy,84,"8 mph, Out To LF",PNC Park,31
745572,Partly Cloudy,80,"12 mph, Out To RF",Citizens Bank Park,2681
745674,Partly Cloudy,68,"11 mph, Out To RF",Oakland Coliseum,10
745834,Sunny,67,"2 mph, Out To CF",Citi Field,3289
745993,Roof Closed,68,"0 mph, None",American Family Field,32
746049,Roof Closed,72,"0 mph, None",loanDepot park,4169
746168,Cloudy,52,"10 mph, R To L",Dodger Stadium,22
746231,Cloudy,68,"8 mph, Out To CF",Angel Stadium,1
746708,Partly Cloudy,78,"17 mph, Out To LF",Great American Ball Park,2602
744925,Sunny,66,"8 mph, Out To LF",Rogers Centre,14
745015,Roof Closed,74,"0 mph, Calm",Globe Life Field,5325
745064,Dome,72,"0 mph, None",Tropicana Field,12
745553,Partly Cloudy,85,"6 mph, Out To CF",Citizens Bank Park,2681
745683,Partly Cloudy,58,"5 mph, Out To RF",Oakland Coliseum,10
745926,Sunny,55,"15 mph, In From RF",Target Field,3312
746054,Roof Closed,72,"0 mph, None",loanDepot park,4169
746398,Roof Closed,73,"0 mph, None",Minute Maid Park,2392
746602,Cloudy,75,"11 mph, In From RF",Progressive Field,5
746605,Partly Cloudy,80,"4 mph, In From CF",Progressive Field,5
746612,Cloudy,76,"5 mph, R To L",Progressive Field,5
746616,Sunny,80,"9 mph, L To R",Progressive Field,5
746623,Partly Cloudy,83,"5 mph, R To L",Progressive Field,5
746624,Clear,85,"1 mph, In From CF",Progressive Field,5
746632,Overcast,68,"2 mph, Out To CF",Progressive Field,5
746643,Cloudy,66,"8 mph, L To R",Progressive Field,5
746649,Cloudy,43,"10 mph, L To R",Progressive Field,5
746656,Sunny,49,"17 mph, Out To CF",Progressive Field,5
746801,Partly Cloudy,67,"10 mph, R To L",Guaranteed Rate Field,4
746970,Cloudy,48,"8 mph, L To R",Fenway Park,3
747019,Cloudy,89,"8 mph, Out To RF",Oriole Park at Camden Yards,2
745139,Partly Cloudy,82,"11 mph, Out To CF",Busch Stadium,2889
745386,Clear,73,"8 mph, L To R",Petco Park,2680
745953,Clear,78,"5 mph, L To R",American Family Field,32
746108,Clear,76,"10 mph, L To R",Dodger Stadium,22
746117,Sunny,89,"7 mph, Out To RF",Dodger Stadium,22
746120,Clear,80,"8 mph, Out To RF",Dodger Stadium,22
746004,Roof Closed,56,"0 mph, None",American Family Field,32
746728,Rain,61,"5 mph, In From CF",Great American Ball Park,2602
744834,Partly Cloudy,87,"3 mph, Out To LF",Nationals Park,3309
745220,Clear,73,"4 mph, Out To CF",T-Mobile Park,680
745351,Partly Cloudy,58,"16 mph, Out To CF",Oracle Park,2395
745376,Sunny,79,"9 mph, L To R",Petco Park,2680
745529,Partly Cloudy,82,"5 mph, R To L",Citizens Bank Park,2681
745571,Cloudy,61,"9 mph, Varies",London Stadium,5381
745580,Cloudy,66,"10 mph, In From CF",Citizens Bank Park,2681
745715,Cloudy,76,"11 mph, Out To RF",Yankee Stadium,3313
745771,Cloudy,72,"7 mph, In From CF",Citi Field,3289
745775,Cloudy,65,"10 mph, L To R",Citi Field,3289
745782,Clear,70,"10 mph, L To R",Citi Field,3289
745783,Sunny,85,"4 mph, L To R",Citi Field,3289
745791,Partly Cloudy,80,"10 mph, Out To LF",Citi Field,3289
745797,Sunny,92,"5 mph, Out To LF",Citi Field,3289
745803,Cloudy,83,"10 mph, Out To LF",Citi Field,3289
745804,Clear,71,"10 mph, Out To LF",Citi Field,3289
745805,Sunny,81,"9 mph, In From LF",Citi Field,3289
745813,Sunny,81,"5 mph, Out To LF",Citi Field,3289
745816,Partly Cloudy,76,"14 mph, Out To RF",Citi Field,3289
745837,Clear,67,"5 mph, L To R",Citi Field,3289
745848,Sunny,53,"17 mph, L To R",Citi Field,3289
745931,Clear,71,"16 mph, L To R",American Family Field,32
746191,Sunny,87,"7 mph, Out To CF",Angel Stadium,1
746634,Overcast,76,"18 mph, Out To CF",Progressive Field,5
746733,Cloudy,46,"11 mph, Out To CF",Great American Ball Park,2602
746751,Clear,82,"6 mph, In From CF",Guaranteed Rate Field,4
746861,Sunny,79,"9 mph, R To L",Wrigley Field,17
747137,Partly Cloudy,72,"15 mph, R To L",Truist Park,4705
744832,Partly Cloudy,93,"1 mph, L To R",Nationals Park,3309
744884,Sunny,68,"9 mph, L To R",Rogers Centre,14
745123,Partly Cloudy,93,"3 mph, R To L",Busch Stadium,2889
745125,Clear,73,"11 mph, L To R",Busch Stadium,2889
745133,Clear,92,"7 mph, R To L",Busch Stadium,2889
745138,Clear,73,"8 mph, In From RF",Busch Stadium,2889
745143,Cloudy,81,"9 mph, L To R",Busch Stadium,2889
745150,Overcast,76,"8 mph, Out To LF",Busch Stadium,2889
745157,Drizzle,76,"7 mph, Out To RF",Busch Stadium,2889
745166,Partly Cloudy,81,"7 mph, Out To LF",Busch Stadium,2889
745173,Cloudy,76,"8 mph, Out To CF",Busch Stadium,2889
745175,Clear,89,"7 mph, In From RF",Busch Stadium,2889
745178,Partly Cloudy,73,"8 mph, Out To LF",Busch Stadium,2889
745182,Clear,76,"6 mph, R To L",Busch Stadium,2889
