team,year,mid_pitcher,mid_sv,late_pitcher,late_sv,same_closer
HOU,2018,532077,10,532077,10,True
HOU,2019,532077,10,532077,18,True
HOU,2021,554340,11,519151,22,False
HOU,2022,519151,10,519151,22,True
HOU,2023,519151,10,519151,26,True
HOU,2024,623352,9,623352,24,True
HOU,2025,623352,16,623352,30,True
KC,2021,622251,6,518813,7,False
KC,2022,605130,5,605130,18,True
KC,2024,663704,11,663704,17,True
KC,2025,608032,15,608032,27,True
LAA,2018,641871,5,453284,10,False
LAA,2019,570663,5,570663,15,True
LAA,2021,628452,10,628452,22,True
LAA,2023,608032,13,608032,22,True
LAA,2025,445276,11,445276,19,True
LAD,2018,445276,11,445276,29,True
LAD,2019,445276,14,445276,22,True
LAD,2021,445276,12,445276,22,True
LAD,2022,518886,12,518886,22,True
LAD,2023,623465,6,623465,10,True
LAD,2024,623465,8,623465,15,True
LAD,2025,656945,9,656945,18,True
MIA,2022,669622,6,656945,14,False
MIA,2023,502085,9,640462,18,False
MIA,2025,622786,4,676534,9,False
MIL,2018,623352,7,608349,14,False
MIL,2019,623352,12,623352,21,True
MIL,2021,623352,12,623352,21,True
MIL,2022,573124,16,573124,26,True
MIL,2023,605177,10,642207,25,False
MIL,2024,656730,8,656730,20,True
MIL,2025,656730,10,656730,23,True
MIN,2019,489265,7,489265,16,True
MIN,2021,573124,4,573124,9,True
MIN,2022,605347,8,605347,20,True
MIN,2023,661395,7,661395,18,True
MIN,2024,661395,7,661395,14,True
NYM,2019,621242,11,621242,22,True
NYM,2021,543272,9,621242,22,False
NYM,2022,621242,13,621242,26,True
NYM,2023,493603,5,493603,6,True
NYM,2024,621242,5,621242,13,True
NYM,2025,621242,11,664854,23,False
NYY,2018,547973,12,547973,27,True
NYY,2019,547973,10,547973,21,True
NYY,2021,547973,11,547973,21,True
NYY,2022,547973,9,605280,16,False
NYY,2023,605280,6,605280,15,True
NYY,2024,605280,14,605280,21,True
NYY,2025,596133,7,666808,17,False
PHI,2018,593576,9,593576,10,True
PHI,2019,453284,7,593576,18,False
PHI,2021,453178,12,453178,17,True
PHI,2022,608349,10,502085,17,False
PHI,2023,518886,8,518886,18,True
PHI,2024,621237,8,608032,20,False
PHI,2025,661395,8,661395,17,True
PIT,2018,553878,10,553878,24,True
PIT,2019,553878,15,553878,24,True
PIT,2022,670280,11,670280,19,True
PIT,2023,670280,10,670280,22,True
PIT,2024,670280,11,670280,20,True
PIT,2025,642701,5,642701,5,True
SD,2019,489446,18,489446,32,True
SD,2021,453343,17,453343,33,True
SD,2022,623352,16,623352,27,True
SD,2023,623352,13,623352,23,True
SD,2024,663158,15,663158,23,True
SD,2025,663158,16,663158,29,True
SEA,2018,621242,19,621242,38,True
SEA,2021,650895,9,650895,15,True
SEA,2022,650895,5,623149,13,False
SEA,2024,662253,11,662253,16,True
SEA,2025,662253,16,662253,22,True
SF,2018,519326,10,519326,14,True
SF,2019,519293,13,519293,26,True
SF,2021,459429,14,459429,23,True
SF,2022,666808,9,666808,15,True
SF,2023,666808,14,666808,30,True
SF,2024,666808,11,666808,20,True
SF,2025,676254,10,676254,10,True
STL,2018,502032,11,502032,19,True
STL,2019,663855,8,663855,13,True
STL,2021,621052,15,621052,25,True
STL,2022,606149,9,664854,12,False
STL,2023,664854,7,606149,8,False
STL,2024,664854,17,664854,34,True
TB,2019,621237,5,621237,8,True
TB,2022,552640,5,548384,7,False
TB,2023,592094,6,664126,12,False
TB,2024,664126,6,664126,20,True
TB,2025,664126,10,664126,16,True
TEX,2019,600917,4,518875,12,False
TEX,2022,669618,11,669618,15,True
TEX,2023,519293,9,519293,19,True
TEX,2024,489446,8,489446,19,True
TOR,2018,571704,10,571704,14,True
TOR,2019,571704,10,571704,13,True
TOR,2022,605447,17,605447,26,True
TOR,2023,605447,12,605447,27,True
TOR,2024,605447,9,605447,10,True
TOR,2025,656546,12,656546,26,True
WSH,2018,448281,11,448281,21,True
WSH,2019,448281,10,448281,23,True
WSH,2022,663432,7,663432,13,True
WSH,2023,640448,11,640448,15,True
WSH,2024,640448,14,640448,30,True
