owner,name,team,own,slots,per_game,rank,signal,etfr,src,vol,inj,ret,xfp_ros,xfp_po,buckets
FA,Trevor Larnach,Min,6.2,RF|OF|DH|UTIL|BE|IL|LF,1.8,140.0,hold,64.0,id·vol,2.87,,,85.0,26.0,OF|UTIL
FA,Travis Bazzana,Cle,24.2,2B|2B/SS|IF|UTIL|BE|IL,1.6,255.0,hold,54.0,id·vol,3.2,,,84.0,26.0,2B/SS|UTIL
FA,Jake Mangum,Pit,6.1,LF|CF|RF|OF|UTIL|BE|IL,1.78,152.0,hold,54.0,id·vol,2.85,,,83.0,26.0,OF|UTIL
FA,Masyn Winn,StL,6.4,SS|2B/SS|IF|UTIL|BE|IL,1.59,265.0,drop,69.0,id·vol,3.16,,,83.0,26.0,2B/SS|UTIL
FA,Jasson Dominguez,NYY,5.1,LF|OF|UTIL|BE|IL|RF,1.75,162.0,hold,31.0,name·vol,2.86,,,83.0,26.0,OF|UTIL
MINE,Max Muncy,LAD,,3B|1B/3B|IF|UTIL|BE|IL,1.98,66.0,hold,81.0,id·vol,2.51,,,82.0,25.0,1B/3B|UTIL
FA,Chase Meidroth,ChW,9.3,2B|SS|2B/SS|IF|UTIL|BE|IL,1.46,349.0,drop,70.0,id·vol,3.43,,,82.0,26.0,2B/SS|UTIL
FA,Jake Burger,Tex,10.0,1B|1B/3B|IF|UTIL|BE|IL,1.71,191.0,drop,77.0,id·vol,2.93,,,82.0,26.0,1B/3B|UTIL
FA,Tyler Freeman,Col,0.5,RF|OF|DH|UTIL|BE|IL|2B|2B/SS|IF,1.76,156.0,hold,54.0,id·vol,2.78,,,81.0,25.0,2B/SS|OF|UTIL
FA,Bryce Eldridge,SF,12.0,DH|UTIL|BE|IL|1B|1B/3B|IF,1.85,116.0,hold,49.0,id·vol,2.62,,,80.0,25.0,1B/3B|UTIL
FA,A.J. Ewing,NYM,13.3,CF|OF|UTIL|BE|IL,1.74,167.0,hold,48.0,id·vol,2.81,,,80.0,25.0,OF|UTIL
FA,Royce Lewis,Min,10.0,3B|1B/3B|IF|UTIL|BE|IL|1B,1.69,200.0,hold,53.0,id·vol,2.87,,,80.0,25.0,1B/3B|UTIL
FA,Jo Adell,LAA,34.9,CF|RF|OF|UTIL|BE|IL,1.55,293.0,hold,76.0,id·vol,3.1,,,79.0,25.0,OF|UTIL
FA,Javier Sanoja,Mia,6.4,2B|3B|2B/SS|1B/3B|IF|LF|OF|UTIL|P|RP|BE|IL,2.04,49.0,hold,60.0,id·vol,2.35,,,79.0,25.0,1B/3B|2B/SS|OF|UTIL
FA,Nathan Lukes,Tor,1.0,LF|CF|RF|OF|UTIL|BE|IL,1.7,193.0,hold,45.0,id·vol,2.8,,,78.0,24.0,OF|UTIL
FA,Heriberto Hernandez,Mia,3.4,LF|OF|DH|UTIL|BE|IL,1.92,84.0,hold,54.0,name·vol,2.45,,,77.0,24.0,OF|UTIL
FA,Salvador Perez,KC,60.5,C|1B|1B/3B|IF|DH|UTIL|BE|IL,1.59,263.0,drop,73.0,id·vol,2.92,,,77.0,24.0,1B/3B|C|UTIL
FA,Isaac Collins,KC,0.6,LF|OF|UTIL|BE|IL,1.8,135.0,hold,70.0,id·vol,2.56,,,76.0,24.0,OF|UTIL
FA,Brayan Rocchio,Cle,32.9,2B|SS|2B/SS|IF|UTIL|BE|IL,1.66,216.0,drop,72.0,id·vol,2.77,,,76.0,24.0,2B/SS|UTIL
FA,Nick Gonzales,Pit,16.6,2B|2B/SS|IF|UTIL|BE|IL|3B|1B/3B,1.45,351.0,drop,65.0,id·vol,3.2,,,76.0,24.0,1B/3B|2B/SS|UTIL
FA,Jurickson Profar,Atl,4.9,LF|OF|UTIL|BE|IL,1.97,,stash,,talent_prior·flat↓,,,,76.0,24.0,OF|UTIL
FA,Cedric Mullins,TB,2.5,CF|OF|UTIL|BE|IL,1.71,184.0,hold,67.0,id·vol,2.69,,,76.0,24.0,OF|UTIL
FA,Cam Smith,Hou,7.1,RF|OF|UTIL|BE|IL,1.58,275.0,hold,70.0,id·vol,2.9,,,75.0,24.0,OF|UTIL
FA,Carter Jensen,KC,35.6,C|DH|UTIL|BE|IL,1.57,279.0,drop,67.0,id·vol,2.85,,,74.0,23.0,C|UTIL
FA,Cole Young,Sea,10.0,2B|2B/SS|IF|UTIL|BE|IL,1.59,270.0,drop,75.0,id·vol,2.84,,,74.0,23.0,2B/SS|UTIL
FA,Lourdes Gurriel Jr.,Ari,0.8,LF|OF|UTIL|BE|IL|DH,1.7,195.0,hold,39.0,id·vol,2.62,,,73.0,23.0,OF|UTIL
FA,Charlie Blackmon,Col,0.0,RF|OF|UTIL|BE|IL,1.86,,stash,,talent_prior·flat↓,,,,72.0,22.0,OF|UTIL
FA,Lane Thomas,KC,1.7,CF|OF|UTIL|BE|IL|RF|LF,1.79,141.0,hold,59.0,id·vol,2.43,,,72.0,22.0,OF|UTIL
FA,Garrett Mitchell,Mil,7.7,CF|OF|UTIL|BE|IL,1.71,189.0,hold,65.0,id·vol,2.57,,,72.0,23.0,OF|UTIL
MINE,Aaron Judge,NYY,,RF|OF|DH|UTIL|BE|IL,2.5,7.0,add,79.0,id·vol,2.33,SIXTY_DAY_DL,2026-08-03,72.0,30.0,OF|UTIL
FA,Austin Riley,Atl,63.5,3B|1B/3B|IF|UTIL|BE|IL,1.44,363.0,drop,67.0,id·vol,3.03,,,72.0,22.0,1B/3B|UTIL
FA,Lars Nootbaar,StL,4.4,LF|RF|OF|UTIL|BE|IL,1.79,142.0,add,27.0,id·vol,2.41,,,71.0,22.0,OF|UTIL
FA,Jose Caballero,NYY,33.7,2B|3B|SS|2B/SS|1B/3B|IF|RF|OF|UTIL|BE|IL,1.68,205.0,hold,61.0,name·vol,2.56,,,71.0,22.0,1B/3B|2B/SS|OF|UTIL
FA,Ryan Jeffers,Min,31.1,C|DH|UTIL|BE|IL,2.05,44.0,hold,40.0,id·vol,2.1,,,71.0,22.0,C|UTIL
FA,Kyle Karros,Col,9.9,3B|1B/3B|IF|UTIL|BE|IL,1.6,258.0,hold,63.0,id·vol,2.71,,,71.0,22.0,1B/3B|UTIL
FA,Wilmer Flores,FA,0.0,1B|1B/3B|IF|DH|UTIL|BE|IL,1.78,,stash,,talent_prior·flat↓,,,,69.0,22.0,1B/3B|UTIL
FA,Jason Heyward,FA,0.0,LF|OF|UTIL|BE|IL,1.79,,stash,,talent_prior·flat↓,,,,69.0,22.0,OF|UTIL
FA,Carlos Santana,FA,0.2,1B|1B/3B|IF|UTIL|BE|IL,1.77,,stash,,talent_prior·flat↓,,,,69.0,22.0,1B/3B|UTIL
FA,Dylan Crews,Wsh,6.3,RF|OF|UTIL|BE|IL|CF,1.5,322.0,hold,35.0,id·vol,2.8,,,69.0,22.0,OF|UTIL
FA,Yainer Diaz,Hou,41.3,C|DH|UTIL|BE|IL,1.69,196.0,hold,35.0,id·vol,2.49,,,69.0,22.0,C|UTIL
FA,Braden Montgomery,ChW,6.5,CF|RF|OF|DH|UTIL|BE|IL,1.61,252.0,hold,23.0,id·vol,2.59,,,69.0,21.0,OF|UTIL
FA,Sal Frelick,Mil,27.0,RF|OF|UTIL|BE|IL,1.86,112.0,hold,70.0,id·vol,2.64,TEN_DAY_DL,2026-07-28,68.0,25.0,OF|UTIL
FA,Jorge Soler,LAA,6.6,RF|OF|DH|UTIL|BE|IL,1.5,323.0,hold,57.0,id·vol,2.75,,,68.0,21.0,OF|UTIL
FA,Kyle Manzardo,Cle,3.0,1B|1B/3B|IF|DH|UTIL|BE|IL,1.47,342.0,drop,55.0,id·vol,2.8,,,68.0,21.0,1B/3B|UTIL
FA,TJ Friedl,Cin,8.9,CF|OF|UTIL|BE|IL|LF,1.64,224.0,hold,43.0,id·vol,2.52,,,68.0,21.0,OF|UTIL
FA,Justin Turner,FA,0.0,1B|1B/3B|IF|UTIL|BE|IL,1.76,,stash,,talent_prior·flat↓,,,,68.0,22.0,1B/3B|UTIL
FA,Troy Johnston,Col,8.0,1B|1B/3B|IF|LF|RF|OF|UTIL|BE|IL|DH,1.74,166.0,hold,67.0,id·vol,2.38,,,68.0,21.0,1B/3B|OF|UTIL
FA,Luis Matos,Mil,0.1,RF|OF|UTIL|BE|IL,1.72,,stash,,talent_prior·flat↓,,,,67.0,21.0,OF|UTIL
FA,J.D. Martinez,FA,0.0,DH|UTIL|BE|IL,1.72,,stash,,talent_prior·flat↓,,,,67.0,21.0,UTIL
FA,Ty France,SD,0.8,1B|1B/3B|IF|UTIL|BE|IL,1.71,190.0,drop,48.0,id·vol,2.36,,,66.0,21.0,1B/3B|UTIL
FA,Lawrence Butler,Oak,9.3,CF|RF|OF|UTIL|BE|IL,1.55,297.0,hold,52.0,id·vol,2.58,,,66.0,21.0,OF|UTIL
FA,Jared Young,NYM,0.3,DH|UTIL|BE|IL|1B|1B/3B|IF,1.97,71.0,hold,38.0,id·vol,2.05,,,66.0,21.0,1B/3B|UTIL
FA,Mike Tauchman,NYM,0.0,RF|OF|UTIL|BE|IL,1.71,,stash,,talent_prior·flat↓,,,,66.0,21.0,OF|UTIL
FA,Kerry Carpenter,Det,9.9,LF|RF|OF|DH|UTIL|BE|IL,1.76,161.0,hold,49.0,id·vol,2.28,,,66.0,21.0,OF|UTIL
FA,Whit Merrifield,FA,0.0,2B|2B/SS|IF|UTIL|BE|IL,1.69,,stash,,talent_prior·flat↓,,,,65.0,20.0,2B/SS|UTIL
FA,Kevin Pillar,FA,0.0,CF|RF|OF|UTIL|BE|IL,1.68,,stash,,talent_prior·flat↓,,,,65.0,20.0,OF|UTIL
FA,Wander Franco,TB,0.2,SS|2B/SS|IF|UTIL|BE|IL,2.13,,stash,,talent_prior·flat↓,,OUT,2026-08-01,65.0,26.0,2B/SS|UTIL
FA,Miguel Andujar,SD,1.4,3B|1B/3B|IF|LF|OF|DH|UTIL|BE|IL,1.88,106.0,hold,55.0,id·vol,2.09,,,65.0,20.0,1B/3B|OF|UTIL
FA,Jesse Winker,FA,0.0,DH|UTIL|BE|IL,1.67,,stash,,talent_prior·flat↓,,,,65.0,20.0,UTIL
FA,Ezequiel Duran,Tex,26.9,1B|SS|2B/SS|1B/3B|IF|UTIL|BE|IL|OF|2B|LF|3B|RF,1.48,338.0,drop,59.0,id·vol,2.66,,,65.0,20.0,1B/3B|2B/SS|OF|UTIL
FA,Samuel Basallo,Bal,34.8,C|UTIL|BE|IL|DH,1.62,242.0,hold,59.0,id·vol,2.46,,,65.0,20.0,C|UTIL
FA,Eugenio Suarez,Cin,41.5,3B|1B/3B|IF|UTIL|BE|IL|DH,1.36,396.0,drop,44.0,name·vol,2.9,,,65.0,20.0,1B/3B|UTIL
FA,Jose Iglesias,FA,0.0,2B|3B|SS|2B/SS|1B/3B|IF|UTIL|BE|IL,1.67,,stash,,talent_prior·flat↓,,,,65.0,20.0,1B/3B|2B/SS|UTIL
FA,Willi Castro,Col,13.9,2B|3B|2B/SS|1B/3B|IF|LF|RF|OF|UTIL|BE|IL|SS|1B,1.44,361.0,drop,57.0,id·vol,2.77,,,65.0,20.0,1B/3B|2B/SS|OF|UTIL
FA,Jared Triolo,Pit,0.4,1B|3B|SS|2B/SS|1B/3B|IF|UTIL|BE|IL,1.64,228.0,drop,43.0,id·vol,2.4,,,65.0,20.0,1B/3B|2B/SS|UTIL
MINE,Dominic Canzone,Sea,,RF|OF|UTIL|BE|IL|DH,1.84,119.0,hold,57.0,id·vol,2.1,,,64.0,20.0,OF|UTIL
FA,Juan Yepez,Tor,0.0,1B|1B/3B|IF|DH|UTIL|BE|IL,1.65,,stash,,talent_prior·flat↓,,,,64.0,20.0,1B/3B|UTIL
FA,Henry Bolte,Oak,3.8,CF|RF|OF|UTIL|BE|IL,1.5,324.0,drop,37.0,id·vol,2.59,,,64.0,20.0,OF|UTIL
FA,Will Brennan,SF,0.0,RF|OF|UTIL|BE|IL,1.65,,stash,,talent_prior·flat↓,,,,64.0,20.0,OF|UTIL
FA,Ildemaro Vargas,Ari,29.8,1B|2B|2B/SS|1B/3B|IF|UTIL|BE|IL,1.86,114.0,hold,68.0,id·vol,2.11,,,64.0,20.0,1B/3B|2B/SS|UTIL
FA,Masataka Yoshida,Bos,1.0,DH|UTIL|BE|IL,1.9,91.0,hold,48.0,id·vol,2.04,,,64.0,20.0,UTIL
FA,Andrew Benintendi,ChW,3.1,LF|OF|DH|UTIL|BE|IL,1.73,176.0,hold,61.0,id·vol,2.26,,,64.0,20.0,OF|UTIL
FA,Tommy Pham,NYM,0.0,LF|OF|UTIL|BE|IL,1.63,,stash,,talent_prior·flat↓,,,,63.0,20.0,OF|UTIL
FA,Jose Miranda,SD,0.0,3B|1B/3B|IF|UTIL|BE|IL,1.63,,stash,,talent_prior·flat↓,,,,63.0,20.0,1B/3B|UTIL
FA,Colt Keith,Det,5.4,2B|3B|2B/SS|1B/3B|IF|DH|UTIL|BE|IL,1.72,180.0,hold,56.0,id·vol,2.24,,,63.0,20.0,1B/3B|2B/SS|UTIL
FA,Vaughn Grissom,LAA,1.0,2B|SS|2B/SS|IF|UTIL|BE|IL|1B|1B/3B|3B,1.64,229.0,hold,42.0,id·vol,2.34,,,63.0,20.0,1B/3B|2B/SS|UTIL
FA,Joc Pederson,Tex,1.5,DH|UTIL|BE|IL,1.85,117.0,hold,66.0,id·vol,2.08,,,63.0,20.0,UTIL
FA,Jeimer Candelario,LAA,0.1,1B|3B|1B/3B|IF|UTIL|BE|IL,1.63,,stash,,talent_prior·flat↓,,,,63.0,20.0,1B/3B|UTIL
FA,Manuel Margot,Det,0.0,RF|OF|UTIL|BE|IL,1.61,,stash,,talent_prior·flat↓,,,,63.0,20.0,OF|UTIL
FA,Kevin Newman,KC,0.0,3B|1B/3B|IF|UTIL|BE|IL,1.61,,stash,,talent_prior·flat↓,,,,63.0,20.0,1B/3B|UTIL
FA,Francisco Alvarez,NYM,9.9,C|UTIL|BE|IL|DH,1.7,194.0,hold,48.0,id·vol,2.25,,,63.0,20.0,C|UTIL
FA,Stuart Fairchild,Cle,0.0,RF|OF|UTIL|BE|IL,1.61,,stash,,talent_prior·flat↓,,,,63.0,20.0,OF|UTIL
FA,Abraham Toro,KC,0.0,1B|1B/3B|IF|UTIL|BE|IL,1.61,,stash,,talent_prior·flat↓,,,,63.0,20.0,1B/3B|UTIL
FA,Michael Massey,KC,0.7,2B|2B/SS|IF|UTIL|BE|IL,1.74,168.0,hold,53.0,id·vol,2.15,,,62.0,19.0,2B/SS|UTIL
FA,Joey Ortiz,Mil,0.9,SS|2B/SS|IF|UTIL|BE|IL|3B|1B/3B,1.62,243.0,drop,48.0,id·vol,2.33,,,62.0,19.0,1B/3B|2B/SS|UTIL
FA,Nathan Church,StL,1.1,CF|RF|OF|UTIL|BE|IL|LF,1.6,254.0,hold,50.0,id·vol,2.36,,,62.0,20.0,OF|UTIL
FA,Kyle Teel,ChW,6.8,C|UTIL|BE|IL,1.53,309.0,hold,12.0,id·vol,2.46,,,62.0,19.0,C|UTIL
FA,Mark Canha,Tex,0.0,LF|RF|OF|UTIL|BE|IL,1.6,,stash,,talent_prior·flat↓,,,,62.0,20.0,OF|UTIL
FA,Daniel Vogelbach,FA,0.0,DH|UTIL|BE|IL,1.6,,stash,,talent_prior·flat↓,,,,62.0,20.0,UTIL
FA,Andrew Vaughn,Mil,4.1,1B|1B/3B|IF|UTIL|BE|IL,1.76,157.0,drop,37.0,id·vol,2.15,,,62.0,19.0,1B/3B|UTIL
FA,Spencer Horwitz,Pit,8.8,1B|1B/3B|IF|UTIL|BE|IL,2.17,28.0,hold,77.0,id·vol,1.9,TEN_DAY_DL,2026-07-24,62.0,21.0,1B/3B|UTIL
FA,Thairo Estrada,FA,0.0,2B|2B/SS|IF|UTIL|BE|IL,1.59,,stash,,talent_prior·flat↓,,,,62.0,20.0,2B/SS|UTIL
FA,Jon Berti,FA,0.0,3B|1B/3B|IF|UTIL|BE|IL,1.59,,stash,,talent_prior·flat↓,,,,62.0,20.0,1B/3B|UTIL
FA,Eddie Rosario,FA,0.0,LF|OF|UTIL|BE|IL,1.56,,stash,,talent_prior·flat↓,,,,61.0,19.0,OF|UTIL
FA,Griffin Conine,Mia,0.3,LF|RF|OF|UTIL|BE|IL,1.89,98.0,hold,21.0,id·vol,1.96,,,61.0,19.0,OF|UTIL
FA,Chas McCormick,ChC,0.0,LF|CF|RF|OF|UTIL|BE|IL,1.58,,stash,,talent_prior·flat↓,,,,61.0,19.0,OF|UTIL
FA,Carlos Cortes,Oak,4.7,RF|OF|UTIL|BE|IL|DH|LF|P|RP,1.97,72.0,hold,56.0,id·vol,1.88,,,61.0,19.0,OF|UTIL
FA,Jake Cronenworth,SD,3.1,2B|2B/SS|IF|UTIL|BE|IL,1.51,320.0,drop,30.0,id·vol,2.48,,,61.0,19.0,2B/SS|UTIL
FA,Dylan Moore,Phi,0.1,2B|SS|2B/SS|IF|RF|OF|UTIL|BE|IL,1.56,,stash,,talent_prior·flat↓,,,,61.0,19.0,2B/SS|OF|UTIL
FA,Rowdy Tellez,Atl,0.1,1B|1B/3B|IF|UTIL|BE|IL,1.58,,stash,,talent_prior·flat↓,,,,61.0,19.0,1B/3B|UTIL
FA,Evan Carter,Tex,2.1,CF|OF|UTIL|BE|IL,1.74,171.0,hold,56.0,id·vol,2.14,,,61.0,19.0,OF|UTIL
FA,Denzer Guzman,LAA,0.7,SS|2B/SS|IF|UTIL|BE|IL|3B|1B/3B,1.51,315.0,hold,22.0,id·vol,2.43,,,61.0,19.0,1B/3B|2B/SS|UTIL
FA,Enmanuel Valdez,Pit,0.1,1B|1B/3B|IF|UTIL|BE|IL,1.58,,stash,,talent_prior·flat↓,,,,61.0,19.0,1B/3B|UTIL
FA,Tristan Peters,ChW,5.1,LF|CF|RF|OF|UTIL|BE|IL,1.78,151.0,hold,60.0,id·vol,2.07,,,61.0,19.0,OF|UTIL
FA,Jacob Young,Wsh,1.1,CF|OF|UTIL|BE|IL,1.66,218.0,hold,59.0,id·vol,2.21,,,60.0,19.0,OF|UTIL
FA,Nick Senzel,LAD,0.0,3B|1B/3B|IF|LF|OF|UTIL|BE|IL,1.54,,stash,,talent_prior·flat↓,,,,60.0,19.0,1B/3B|OF|UTIL
FA,Hunter Renfroe,FA,0.0,RF|OF|UTIL|BE|IL,1.54,,stash,,talent_prior·flat↓,,,,60.0,19.0,OF|UTIL
FA,Cooper Pratt,Mil,2.4,SS|2B/SS|IF|UTIL|BE|IL,1.64,227.0,drop,18.0,id·vol,2.21,,,60.0,19.0,2B/SS|UTIL
FA,Joshua Kuroda-Grauer,Oak,2.5,SS|2B/SS|IF|UTIL|BE|IL,1.66,215.0,hold,10.0,id·vol,2.2,,,60.0,19.0,2B/SS|UTIL
FA,Joey Meneses,Oak,0.0,1B|1B/3B|IF|DH|UTIL|BE|IL,1.55,,stash,,talent_prior·flat↓,,,,60.0,19.0,1B/3B|UTIL
FA,Romy Gonzalez,Bos,0.6,1B|2B|2B/SS|1B/3B|IF|UTIL|BE|IL,1.77,,stash,,talent_prior·vol,2.05,,,60.0,19.0,1B/3B|2B/SS|UTIL
FA,Donovan Solano,FA,0.0,1B|1B/3B|IF|UTIL|BE|IL,1.51,,stash,,talent_prior·flat↓,,,,59.0,18.0,1B/3B|UTIL
FA,Oswaldo Cabrera,NYY,0.1,3B|1B/3B|IF|UTIL|BE|IL,1.52,,stash,,talent_prior·flat↓,,,,59.0,18.0,1B/3B|UTIL
FA,Nick Loftin,KC,1.1,LF|OF|UTIL|BE|IL|2B|2B/SS|IF|3B|1B/3B,1.67,214.0,hold,42.0,id·vol,2.15,,,59.0,18.0,1B/3B|2B/SS|OF|UTIL
FA,Kyle Farmer,Atl,0.0,2B|2B/SS|IF|DH|UTIL|BE|IL,1.53,,stash,,talent_prior·flat↓,,,,59.0,19.0,2B/SS|UTIL
FA,Travis Jankowski,FA,0.0,RF|OF|UTIL|BE|IL,1.52,,stash,,talent_prior·flat↓,,,,59.0,18.0,OF|UTIL
FA,Anthony Rizzo,FA,0.0,1B|1B/3B|IF|UTIL|BE|IL,1.52,,stash,,talent_prior·flat↓,,,,59.0,18.0,1B/3B|UTIL
FA,Justin Crawford,Phi,3.4,LF|CF|OF|UTIL|BE|IL,1.69,201.0,hold,59.0,id·vol,2.14,,,59.0,19.0,OF|UTIL
FA,Robbie Grossman,FA,0.0,LF|OF|UTIL|BE|IL,1.52,,stash,,talent_prior·flat↓,,,,59.0,18.0,OF|UTIL
FA,Yasmani Grandal,FA,0.0,C|UTIL|BE|IL,1.51,,stash,,talent_prior·flat↓,,,,59.0,18.0,C|UTIL
FA,Nasim Nunez,Wsh,10.4,2B|SS|2B/SS|IF|UTIL|BE|IL,1.58,272.0,drop,59.0,name·vol,2.23,,,58.0,18.0,2B/SS|UTIL
FA,Yuli Gurriel,FA,0.0,DH|UTIL|BE|IL,1.5,,stash,,talent_prior·flat↓,,,,58.0,18.0,UTIL
FA,Brett Baty,NYM,3.7,2B|3B|2B/SS|1B/3B|IF|UTIL|BE|IL|RF|OF|1B,1.3,425.0,drop,52.0,id·vol,2.73,,,58.0,18.0,1B/3B|2B/SS|OF|UTIL
