pitcher,annual_rate,total_gs,seasons_used,Apr_rate,Apr_gs,Apr_lift,May_rate,May_gs,May_lift,Jun_rate,Jun_gs,Jun_lift,Jul_rate,Jul_gs,Jul_lift,Aug_rate,Aug_gs,Aug_lift,Sep_rate,Sep_gs,Sep_lift,player_name,rank,xfp_rp3_per_start_sched,gs_to,remaining_weights,ros_weighted_lift_pct
543606,9.624,102,4,6.665,17,-30.7,14.157,14,47.1,10.65,14,10.7,8.13,20,-15.5,10.067,21,4.6,9.187,16,-4.5,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.9
650911,14.485,79,3,,11,,,10,,17.708,13,22.3,14.1,15,-2.7,13.325,16,-8.0,16.821,14,16.1,"Sánchez, Cristopher",10.0,13.85,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.9
518516,10.181,113,5,7.095,20,-30.3,10.762,16,5.7,11.453,17,12.5,11.717,18,15.1,11.6,23,13.9,8.632,19,-15.2,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.4
641771,6.885,59,4,6.678,18,-3.0,,11,,7.32,15,6.3,,9,,,0,,,6,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.3
668909,11.047,60,3,,5,,,5,,,5,,10.594,16,-4.1,11.406,17,3.3,13.117,12,18.7,"Williams, Gavin",21.0,12.97,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.0
501381,9.667,52,3,,10,,13.064,11,35.1,,8,,7.992,12,-17.3,,7,,,4,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.0
645261,13.087,156,6,9.054,24,-30.8,11.248,27,-14.0,14.085,27,7.6,11.083,24,-15.3,16.304,28,24.6,16.065,26,22.8,"Alcantara, Sandy",53.0,10.88,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",5.9
622608,5.918,105,6,4.683,18,-20.9,2.974,19,-49.8,7.17,20,21.2,4.507,14,-23.8,7.169,16,21.1,8.856,18,49.6,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",5.9
647336,11.717,53,4,,9,,12.4,13,5.8,,11,,,10,,,5,,,5,,"Soroka, Michael",94.0,9.76,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",5.8
605540,15.797,93,5,12.993,14,-17.7,19.775,16,25.2,,11,,15.906,17,0.7,13.786,21,-12.7,17.857,14,13.0,"Woodruff, Brandon",35.0,11.69,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",5.6
519242,16.416,122,6,11.788,26,-28.2,20.642,26,25.7,20.784,19,26.6,17.529,14,6.8,14.967,15,-8.8,13.395,22,-18.4,"Sale, Chris",7.0,13.16,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",5.6
623167,8.403,96,4,6.629,17,-21.1,6.773,15,-19.4,9.787,16,16.5,10.494,16,24.9,8.406,16,0.0,8.337,16,-0.8,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",5.2
656605,9.854,148,6,8.464,25,-14.1,12.944,25,31.4,12.695,20,28.8,10.99,20,11.5,5.947,30,-39.7,9.682,28,-1.7,"Keller, Mitch",61.0,11.05,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",5.0
663474,12.788,67,3,7.764,11,-39.3,13.394,17,4.7,,10,,,9,,,10,,,10,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",4.7
592791,11.647,171,7,10.7,30,-8.1,10.058,31,-13.6,9.944,32,-14.6,13.523,26,16.1,10.532,28,-9.6,16.425,24,41.0,"Taillon, Jameson",70.0,10.38,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",4.6
668676,8.997,76,5,5.593,14,-37.8,,10,,11.15,14,23.9,7.171,14,-20.3,9.913,15,10.2,,9,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",4.6
628711,13.929,84,4,11.611,18,-16.6,13.05,16,-6.3,,10,,12.5,15,-10.3,17.793,15,27.7,,10,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",4.4
502624,8.567,84,5,,10,,5.962,13,-30.4,7.676,17,-10.4,10.936,14,27.7,,11,,10.589,19,23.6,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",4.3
676440,12.558,84,3,,10,,12.425,16,-1.1,12.893,15,2.7,12.34,15,-1.7,9.969,16,-20.6,17.533,12,39.6,"Bibee, Tanner",57.0,11.03,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",4.0
605182,13.058,97,5,,11,,11.312,16,-13.4,14.555,11,11.5,14.543,14,11.4,14.417,23,10.4,12.605,22,-3.5,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",4.0
657006,12.211,84,4,,11,,10.587,16,-13.3,14.171,14,16.1,11.746,13,-3.8,13.853,19,13.4,,11,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",4.0
607536,8.286,179,7,6.546,28,-21.0,6.038,29,-27.1,7.722,23,-6.8,9.466,32,14.2,9.419,36,13.7,9.845,31,18.8,"Freeland, Kyle",113.0,9.12,5.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",3.8
474463,7.636,70,3,,9,,5.262,13,-31.1,,10,,10.208,12,33.7,10.76,15,40.9,4.9,11,-35.8,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",3.6
545333,15.752,73,3,19.1,18,21.3,13.941,17,-11.5,18.188,16,15.5,,12,,,6,,,4,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",3.5
656849,9.82,96,5,8.436,14,-14.1,11.254,13,14.6,8.389,19,-14.6,12.377,13,26.0,11.555,20,17.7,7.465,17,-24.0,"Peterson, David",109.0,9.22,5.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",3.5
650644,10.545,112,6,8.129,14,-22.9,11.333,15,7.5,10.326,19,-2.1,12.167,18,15.4,11.942,24,13.2,8.882,22,-15.8,"Civale, Aaron",125.0,8.76,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",3.5
458681,11.571,159,6,9.452,23,-18.3,11.085,27,-4.2,13.187,30,14.0,9.686,29,-16.3,13.436,28,16.1,12.291,22,6.2,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",3.5
663978,10.2,88,5,9.77,23,-4.2,13.615,20,33.5,7.761,18,-23.9,10.836,14,6.2,,10,,,3,,"Paddack, Chris",153.0,7.93,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",3.3
593423,10.94,115,6,8.611,19,-21.3,13.209,22,20.7,11.579,24,5.8,9.265,20,-15.3,10.575,16,-3.3,12.25,14,12.0,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",3.3
669203,15.684,134,6,13.525,28,-13.8,16.888,25,7.7,15.084,19,-3.8,18.943,21,20.8,11.91,21,-24.1,18.315,20,16.8,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",3.3
686613,12.81,88,3,11.027,15,-13.9,13.453,15,5.0,18.314,14,43.0,9.469,16,-26.1,14.26,15,11.3,10.638,13,-17.0,,14.0,13.22,2.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",3.2
669194,10.384,74,4,,10,,6.758,12,-34.9,9.86,15,-5.0,12.906,16,24.3,,10,,12.545,11,20.8,"Nelson, Ryne",83.0,9.97,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",3.2
621112,8.248,66,6,,9,,,6,,7.205,19,-12.6,,9,,9.8,13,18.8,,10,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",3.1
554430,16.045,200,7,14.06,35,-12.4,17.174,38,7.0,15.75,36,-1.8,15.732,31,-1.9,15.969,36,-0.5,18.112,24,12.9,Zack Wheeler,9.0,13.85,2.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",3.0
605483,14.858,157,7,11.5,21,-22.6,12.522,27,-15.7,12.379,24,-16.7,14.688,25,-1.1,18.248,33,22.8,18.022,27,21.3,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",2.9
448179,10.137,114,5,7.294,18,-28.0,12.171,21,20.1,11.486,22,13.3,8.587,15,-15.3,9.1,18,-10.2,11.17,20,10.2,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",2.9
594835,9.9,132,6,9.504,28,-4.0,7.8,22,-21.2,11.386,21,15.0,9.98,20,0.8,8.759,22,-11.5,12.511,19,26.4,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",2.8
622491,13.145,207,7,11.872,32,-9.7,11.495,37,-12.6,12.149,37,-7.6,16.881,36,28.4,12.134,35,-7.7,14.463,30,10.0,"Castillo, Luis",71.0,10.17,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",2.7
615698,8.648,138,6,5.958,19,-31.1,11.284,25,30.5,7.186,21,-16.9,7.804,23,-9.8,10.385,26,20.1,8.237,24,-4.7,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",2.7
596001,10.079,84,6,11.921,14,18.3,11.235,17,11.5,,10,,,9,,11.005,19,9.2,8.953,15,-11.2,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",2.6
489119,10.216,102,5,12.987,15,27.1,10.806,16,5.8,13.985,13,36.9,13.693,14,34.0,10.524,21,3.0,3.47,23,-66.0,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",2.6
656302,12.864,171,6,11.429,24,-11.2,13.769,29,7.0,14.227,26,10.6,13.2,31,2.6,9.785,33,-23.9,15.15,28,17.8,"Cease, Dylan",8.0,14.47,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",2.6
665795,10.644,80,5,7.931,13,-25.5,,10,,11.24,10,5.6,10.485,13,-1.5,13.659,17,28.3,8.312,17,-21.9,"Cabrera, Edward",59.0,10.73,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",2.6
693821,9.481,72,4,8.936,14,-5.7,10.833,12,14.3,,10,,4.958,12,-47.7,,11,,13.554,13,43.0,"Elder, Bryce",85.0,9.19,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",2.4
660271,15.252,94,5,14.131,16,-7.3,17.1,17,12.1,13.567,18,-11.1,15.16,15,-0.6,13.837,16,-9.3,18.658,12,22.3,"Ohtani, Shohei",13.0,13.29,5.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",2.3
572971,7.722,100,6,6.436,14,-16.7,8.212,16,6.4,,9,,10.018,22,29.7,8.095,20,4.8,5.337,19,-30.9,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",2.3
592662,13.523,153,6,11.879,24,-12.2,15.136,22,11.9,14.691,23,8.6,13.55,26,0.2,14.097,32,4.2,11.908,26,-11.9,"Ray, Robbie",55.0,11.01,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",2.2
518876,12.138,159,6,11.496,28,-5.3,11.361,28,-6.4,13.512,26,11.3,14.164,22,16.7,10.185,26,-16.1,12.49,29,2.9,"Kelly, Merrill",140.0,8.26,4.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",2.0
608337,11.371,175,6,8.348,21,-26.6,12.229,34,7.6,12.613,31,10.9,11.233,30,-1.2,13.374,34,17.6,8.644,25,-24.0,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",2.0
596295,7.516,115,6,7.4,20,-1.5,11.18,20,48.8,6.048,21,-19.5,7.8,19,3.8,6.293,27,-16.3,,8,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.9
571578,9.887,217,7,8.53,33,-13.7,11.04,42,11.7,10.968,34,10.9,8.958,36,-9.4,9.692,36,-2.0,9.886,36,-0.0,"Corbin, Patrick",144.0,8.13,5.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.9
657277,13.546,162,6,12.393,27,-8.5,15.804,24,16.7,15.087,23,11.4,11.692,25,-13.7,14.865,31,9.7,11.888,32,-12.2,"Webb, Logan",51.0,11.17,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.8
669373,15.567,124,5,13.267,18,-14.8,19.829,21,27.4,14.029,21,-9.9,14.129,24,-9.2,16.082,22,3.3,15.978,18,2.6,"Skubal, Tarik",1.0,15.28,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.8
506433,13.505,150,7,13.172,29,-2.5,12.375,28,-8.4,15.626,19,15.7,12.496,25,-7.5,13.365,23,-1.0,14.638,26,8.4,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.8
601713,11.451,171,7,10.022,27,-12.5,12.579,29,9.8,11.403,33,-0.4,10.138,26,-11.5,12.178,27,6.3,12.21,29,6.6,"Pivetta, Nick",22.0,12.73,4.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.8
678394,9.896,91,4,,7,,8.293,15,-16.2,10.54,15,6.5,9.433,18,-4.7,13.231,16,33.7,8.465,20,-14.5,"Bello, Brayan",132.0,8.46,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.7
450203,12.24,208,7,11.065,34,-9.6,12.076,33,-1.3,14.071,35,15.0,12.339,36,0.8,13.808,37,12.8,9.809,33,-19.9,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.6
671096,11.968,75,3,,9,,,11,,14.713,15,22.9,12.106,16,1.2,9.664,14,-19.2,,10,,"Abbott, Andrew",129.0,8.14,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.6
622072,9.936,95,6,9.281,21,-6.6,10.305,19,3.7,7.781,16,-21.7,13.94,15,40.3,8.367,21,-15.8,,3,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.5
608379,11.228,159,7,10.975,32,-2.3,12.813,31,14.1,10.077,26,-10.2,13.146,13,17.1,11.214,28,-0.1,9.997,29,-11.0,"Wacha, Michael",54.0,9.79,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.5
605400,14.399,207,7,13.811,36,-4.1,14.684,37,2.0,14.628,32,1.6,16.397,30,13.9,14.932,34,3.7,12.432,38,-13.7,"Nola, Aaron",64.0,10.52,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.5
663903,9.942,142,5,9.176,21,-7.7,8.574,23,-13.8,9.046,26,-9.0,11.921,24,19.9,11.973,26,20.4,8.6,22,-13.5,"Singer, Brady",143.0,8.15,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.4
664285,14.213,142,7,12.257,14,-13.8,16.873,22,18.7,14.593,30,2.7,13.242,24,-6.8,16.127,26,13.5,11.558,26,-18.7,"Valdez, Framber",39.0,11.52,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.2
656756,11.154,112,5,11.865,20,6.4,8.155,22,-26.9,10.635,20,-4.7,11.856,16,6.3,14.189,18,27.2,10.925,16,-2.1,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.1
666200,12.101,104,5,11.504,23,-4.9,12.44,15,2.8,11.307,14,-6.6,,10,,11.322,23,-6.4,13.874,19,14.6,"Luzardo, Jesús",11.0,14.65,7.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.0
641793,11.011,72,3,,10,,,11,,,10,,8.569,13,-22.2,11.808,13,7.2,12.987,15,17.9,"Littell, Zack",175.0,6.58,5.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.0
425794,10.248,122,5,9.963,19,-2.8,9.88,20,-3.6,10.289,19,0.4,10.9,18,6.4,11.405,22,11.3,9.196,24,-10.3,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.0
594798,19.219,123,7,18.588,24,-3.3,17.458,19,-9.2,20.068,22,4.4,19.657,14,2.3,20.695,22,7.7,18.823,22,-2.1,"deGrom, Jacob",5.0,14.64,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",1.0
663776,10.091,90,5,9.8,13,-2.9,10.284,19,1.9,10.2,17,1.1,13.646,13,35.2,11.007,14,9.1,5.75,14,-43.0,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",0.8
605288,8.61,105,6,7.536,14,-12.5,6.44,15,-25.2,7.728,18,-10.3,8.725,16,1.3,9.456,18,9.8,10.546,24,22.5,"Houser, Adrian",163.0,7.56,6.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",0.6
453286,17.098,152,7,17.155,22,0.3,18.715,26,9.5,20.3,21,18.7,14.39,29,-15.8,17.954,28,5.0,14.946,26,-12.6,"Scherzer, Max",169.0,7.1,5.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",0.6
592836,9.076,123,6,9.035,17,-0.4,8.558,24,-5.7,14.7,21,62.0,8.063,19,-11.2,6.461,23,-28.8,7.726,19,-14.9,"Walker, Taijuan",177.0,6.04,4.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",0.5
