batter,annual_rate,total_pa,seasons_used,Apr_rate,Apr_pa,Apr_lift,May_rate,May_pa,May_lift,Jun_rate,Jun_pa,Jun_lift,Jul_rate,Jul_pa,Jul_lift,Aug_rate,Aug_pa,Aug_lift,Sep_rate,Sep_pa,Sep_lift,player_name,team,rank,xfp_rh3_per_game,expected_total_fp_remaining,remaining_weights,ros_weighted_lift_pct
595978,0.0914,1356,5,0.0441,227,-51.8,0.0198,253,-78.4,0.0297,202,-67.5,0.2075,159,127.0,0.1784,269,95.1,0.0894,246,-2.2,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",18.6
666134,0.1792,1105,4,,158,,,74,,0.2488,217,38.9,0.1376,218,-23.2,0.2139,201,19.4,0.2447,237,36.6,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",17.9
605412,0.2611,1015,3,0.2559,211,-2.0,,110,,0.3045,266,16.6,,136,,,156,,,136,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",16.6
643376,0.2549,1534,7,0.0882,238,-65.4,0.2541,362,-0.3,0.1862,247,-26.9,0.3017,242,18.3,0.3296,267,29.3,0.3989,178,56.5,Danny Jansen,TEX,258.0,1.45,99.1,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",16.0
669707,0.173,873,3,,94,,,150,,,97,,,93,,,174,,0.2,265,15.6,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",15.6
624585,0.2756,3189,7,0.1942,685,-29.6,0.2441,725,-11.4,0.2167,563,-21.4,0.3189,439,15.7,0.3961,414,43.7,0.3939,363,42.9,Jorge Soler,LAA,183.0,1.6,180.1,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",14.9
541645,0.2193,1769,5,0.1,390,-54.4,0.3071,280,40.0,0.1797,295,-18.1,0.2538,331,15.7,0.2734,278,24.6,0.2564,195,16.9,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",14.8
676059,0.2637,952,3,,177,,,101,,,160,,0.3023,258,14.7,,151,,,105,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",14.7
598265,0.1528,1898,5,0.0895,391,-41.4,0.1008,397,-34.1,0.2147,354,40.5,0.1988,322,30.1,0.2212,217,44.8,0.1244,217,-18.6,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",14.5
543543,0.1962,846,5,0.1667,156,-15.1,0.2236,237,14.0,,89,,,109,,,124,,,131,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",14.0
595909,0.1585,1161,6,,139,,,54,,,71,,,148,,0.2665,379,68.1,0.0946,370,-40.3,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",13.9
519048,0.2788,972,3,0.3394,218,21.8,0.35,200,25.5,,152,,,69,,0.291,189,4.4,,144,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",13.8
677594,0.2693,2536,4,0.1167,420,-56.7,0.2621,477,-2.7,0.1914,465,-28.9,0.3087,366,14.6,0.3786,383,40.6,0.3812,425,41.5,Julio Rodríguez,SEA,120.0,1.75,225.7,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",13.7
656896,0.2032,1058,5,,67,,0.244,250,20.1,,142,,0.2457,175,20.9,0.3037,214,49.5,0.1333,210,-34.4,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",13.7
641598,0.2546,1940,7,0.1553,322,-39.0,0.256,375,0.5,0.1746,378,-31.4,0.2801,307,10.0,0.3182,352,25.0,0.4078,206,60.1,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",13.3
669004,0.1866,1586,4,0.0565,230,-69.7,0.1941,273,4.0,0.1454,282,-22.1,0.2301,239,23.3,0.26,300,39.3,0.2137,262,14.5,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",12.1
677649,0.1909,969,4,,109,,,142,,0.2257,226,18.2,,118,,0.2008,254,5.2,,120,,Ezequiel Duran,TEX,280.0,1.4,90.7,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",11.7
608385,0.3298,2365,7,0.3192,589,-3.2,0.2563,554,-22.3,0.3899,495,18.2,0.3701,408,12.2,0.4341,205,31.6,,114,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",11.6
594777,0.1898,1823,5,0.0731,301,-61.5,0.3034,290,59.9,0.195,241,2.8,0.2356,348,24.1,0.2834,307,49.3,0.0595,336,-68.6,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",11.6
543281,0.2495,1487,5,0.1993,291,-20.1,0.2612,268,4.7,0.2328,262,-6.7,0.3506,251,40.5,0.2653,245,6.3,,170,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",11.5
642350,0.0945,1048,4,,128,,0.24,200,154.1,,167,,,141,,0.0263,228,-72.1,0.0761,184,-19.5,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",11.5
669289,0.2587,1465,5,0.2385,260,-7.8,0.2062,325,-20.3,0.2578,287,-0.3,0.3774,212,45.9,0.2955,247,14.2,,134,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",11.4
605119,0.2402,2057,5,0.2162,444,-10.0,0.2276,457,-5.2,0.2903,341,20.9,0.2799,268,16.5,0.2617,363,9.0,,184,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",11.1
571980,0.2593,1130,4,0.246,252,-5.1,,190,,,131,,0.2292,288,-11.6,0.3458,214,33.4,,55,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",10.9
664040,0.2608,2581,7,0.2068,474,-20.7,0.1996,456,-23.5,0.3,370,15.1,0.4416,308,69.3,0.2477,537,-5.0,0.2385,436,-8.5,Brandon Lowe,PIT,81.0,1.82,206.6,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",10.8
543829,0.2366,1023,3,,200,,0.2618,191,10.7,,190,,,143,,,165,,,134,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",10.7
543305,0.2494,1688,6,0.1538,325,-38.3,0.1392,237,-44.2,0.3052,367,22.4,0.3274,336,31.3,,189,,0.3034,234,21.7,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",10.5
665750,0.1655,1692,5,0.0722,263,-56.3,0.256,293,54.7,0.2117,222,27.9,0.1948,267,17.7,0.1207,290,-27.1,0.1457,357,-12.0,Leody Taveras,BAL,212.0,1.55,112.4,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",10.5
669357,0.1402,1419,4,0.1746,252,24.5,0.2791,215,99.0,0.0601,366,-57.1,0.195,241,39.1,0.1096,228,-21.8,,117,,Nolan Gorman,STL,289.0,1.38,148.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",10.4
672820,0.1939,1052,3,0.0688,189,-64.5,,92,,,148,,,145,,0.204,250,5.2,0.2237,228,15.4,Lenyn Sosa,TOR,239.0,1.5,97.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",10.3
649557,0.2804,1498,5,0.1777,287,-36.6,0.3107,206,10.8,0.2066,213,-26.3,0.4031,191,43.8,0.2773,339,-1.1,0.3435,262,22.5,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",9.9
668670,0.1013,869,4,,115,,,104,,0.1802,172,78.0,,107,,0.0634,205,-37.4,0.0904,166,-10.8,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",9.9
642133,0.251,2331,7,0.2148,447,-14.4,0.2284,464,-9.0,0.2227,431,-11.2,0.3946,223,57.2,0.2914,374,16.1,0.2296,392,-8.5,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",9.7
643265,0.207,1633,5,0.1183,279,-42.9,0.2219,374,7.2,0.3182,286,53.7,0.1718,291,-17.0,0.1055,218,-49.0,0.3135,185,51.5,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",9.4
572041,0.2802,1706,5,0.2043,328,-27.1,0.2541,185,-9.3,,180,,0.3713,342,32.5,0.2623,385,-6.4,0.3287,286,17.3,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",9.4
622682,0.1669,887,4,,52,,,0,,,51,,0.1333,180,-20.1,0.1758,330,5.3,0.2372,274,42.2,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",9.1
663624,0.2236,2424,5,0.1474,475,-34.1,0.202,495,-9.7,0.3631,336,62.4,0.1974,309,-11.7,0.2851,470,27.5,0.1622,339,-27.4,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",9.0
663898,0.2322,1787,6,0.0642,187,-72.4,0.1916,261,-17.5,0.3344,308,44.0,0.2416,298,4.0,0.255,400,9.8,0.2282,333,-1.7,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",8.8
572191,0.1086,2265,7,0.1111,459,2.3,0.0,448,-100.0,0.1845,374,69.9,0.176,341,62.0,0.1016,443,-6.5,0.105,200,-3.3,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",8.7
543063,0.2582,2316,5,0.1303,422,-49.5,0.355,400,37.5,0.3141,417,21.7,0.2557,305,-1.0,0.1973,370,-23.6,0.296,402,14.6,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",8.7
669127,0.2348,1631,4,0.2801,282,19.3,0.2163,282,-7.9,,160,,0.2616,237,11.4,0.3104,335,32.2,0.2239,335,-4.7,Shea Langeliers,ATH,14.0,2.1,258.7,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",8.6
547989,0.2922,3159,6,0.1796,568,-38.5,0.3151,568,7.9,0.2894,546,-1.0,0.2962,530,1.4,0.3855,511,31.9,0.2982,436,2.0,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",8.5
663457,0.2943,1743,5,0.2738,252,-7.0,0.2576,330,-12.5,,138,,0.3605,233,22.5,0.3765,417,27.9,0.2708,373,-8.0,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",8.5
596059,0.2097,1960,5,0.0877,171,-58.2,0.1671,377,-20.3,0.2255,377,7.5,0.3042,355,45.1,0.179,419,-14.6,0.249,261,18.8,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",8.4
607732,0.1866,1458,6,0.0987,233,-47.1,0.2152,237,15.3,0.1392,237,-25.4,0.2162,222,15.9,0.2292,301,22.9,0.2105,228,12.8,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",8.0
456715,0.2715,1569,4,0.2727,275,0.4,0.2087,393,-23.2,,179,,,198,,0.3129,278,15.3,0.3415,246,25.8,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",8.0
623993,0.2866,3029,7,0.184,538,-35.8,0.2982,456,4.1,0.2992,498,4.4,0.38,479,32.6,0.3479,549,21.4,0.2181,509,-23.9,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",7.9
642336,0.2152,869,5,0.1748,143,-18.8,0.0985,132,-54.2,0.1677,155,-22.0,0.2949,156,37.0,0.3409,176,58.4,,107,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",7.9
673237,0.3029,1466,3,,183,,,195,,0.3636,264,20.1,0.3782,275,24.9,0.3135,303,3.5,0.252,246,-16.8,Yainer Diaz,HOU,158.0,1.64,146.9,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",7.9
600869,0.2324,3072,7,0.163,675,-29.9,0.2701,559,16.2,0.2564,390,10.3,0.2588,568,11.4,0.2192,479,-5.7,0.2519,401,8.4,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",7.8
621438,0.2089,1398,5,0.2033,182,-2.7,0.1501,353,-28.1,0.1901,263,-9.0,0.2312,186,10.7,0.208,226,-0.4,0.3298,188,57.9,Tyrone Taylor,NYM,227.0,1.52,82.2,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",7.6
543257,0.2276,2597,6,0.1771,463,-22.2,0.1857,533,-18.4,0.2022,445,-11.1,0.2944,394,29.4,0.2455,334,7.9,0.285,428,25.3,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",7.6
594807,0.1576,1954,6,0.1097,319,-30.4,0.142,338,-9.9,0.1422,443,-9.8,0.1821,324,15.5,0.2244,312,42.3,0.1514,218,-4.0,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",7.5
668227,0.2391,3191,5,0.1453,523,-39.2,0.2642,564,10.5,0.2722,540,13.8,0.2742,496,14.7,0.3031,541,26.8,0.1727,527,-27.8,Randy Arozarena,SEA,148.0,1.67,207.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",7.5
572228,0.2251,1444,5,0.1786,224,-20.7,0.2222,234,-1.3,0.2235,264,-0.7,,164,,0.2417,211,7.4,0.2738,347,21.6,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",7.2
543877,0.2193,2467,7,0.14,407,-36.1,0.2009,468,-8.4,0.2599,481,18.5,0.2779,421,26.7,0.2344,337,6.9,0.1955,353,-10.9,Christian Vázquez,HOU,254.0,1.47,74.1,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",7.2
666158,0.2356,1821,5,0.1566,281,-33.5,0.2473,364,5.0,0.2098,348,-11.0,0.3,290,27.3,0.2672,247,13.4,0.2371,291,0.6,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",7.1
571771,0.2538,2931,7,0.2088,594,-17.8,0.2115,539,-16.7,0.2312,480,-8.9,0.2938,371,15.7,0.3551,445,39.9,0.255,502,0.4,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",7.0
664728,0.1895,1404,5,0.125,232,-34.0,0.2031,192,7.2,0.2164,171,14.2,0.1635,263,-13.7,0.2339,295,23.5,0.1952,251,3.0,Kyle Isbel,KC,194.0,1.58,126.1,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.8
614177,0.2061,1747,5,0.1456,309,-29.3,0.214,285,3.9,,134,,0.2319,263,12.6,0.2598,381,26.1,0.1733,375,-15.9,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.8
543939,0.2941,2040,5,0.248,375,-15.7,0.2258,434,-23.2,0.335,206,13.9,0.3267,352,11.1,0.3554,363,20.8,0.3097,310,5.3,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.8
664913,0.1996,1548,5,0.1094,192,-45.2,0.1737,236,-13.0,0.1455,220,-27.1,0.3265,245,63.6,0.2013,303,0.9,0.2102,352,5.3,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.7
543768,0.2621,950,3,0.1824,296,-30.4,0.2797,236,6.7,,141,,,104,,,89,,,84,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.7
543760,0.3381,4779,7,0.2538,780,-24.9,0.2822,847,-16.6,0.3428,846,1.4,0.3826,771,13.2,0.3362,821,-0.6,0.4454,714,31.7,Marcus Semien,NYM,175.0,1.61,181.3,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.7
683734,0.2615,2654,5,0.1814,441,-30.6,0.2522,456,-3.6,0.3235,405,23.7,0.2864,412,9.5,0.2822,535,7.9,0.2444,405,-6.5,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.6
672275,0.1188,1229,3,,149,,0.2092,153,76.1,0.2489,233,109.5,0.0484,248,-59.3,0.0424,236,-64.3,0.1,210,-15.8,Patrick Bailey,SF,309.0,1.3,90.7,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.5
666971,0.3028,2992,7,0.2203,472,-27.2,0.3086,499,1.9,0.3306,599,9.2,0.293,628,-3.2,0.3255,510,7.5,0.3521,284,16.3,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.5
666182,0.3035,2979,6,0.2306,542,-24.0,0.3317,600,9.3,0.2505,543,-17.5,0.3277,415,8.0,0.3142,471,3.5,0.3922,408,29.2,Bo Bichette,NYM,92.0,1.8,227.4,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.4
642708,0.2457,3341,7,0.1737,570,-29.3,0.2311,623,-5.9,0.2715,571,10.5,0.2836,543,15.4,0.2893,560,17.7,0.2257,474,-8.1,Amed Rosario,NYY,113.0,1.76,99.4,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.4
641933,0.2222,1931,7,0.1429,357,-35.7,0.0922,206,-58.5,0.2851,228,28.3,0.2696,408,21.4,0.2405,395,8.3,0.2641,337,18.9,Tyler O'Neill,BAL,238.0,1.5,68.0,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.2
594809,0.289,1204,3,,209,,,199,,,159,,0.3071,254,6.2,,209,,,174,,,,,,,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.2
691016,0.2397,926,3,,109,,,173,,,193,,,132,,,158,,0.2547,161,6.2,Tyler Soderstrom,ATH,70.0,1.85,215.3,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.2
665926,0.2377,2251,5,0.1651,418,-30.5,0.2568,292,8.1,0.272,375,14.4,0.2131,291,-10.4,0.2577,423,8.4,0.2611,452,9.8,Andrés Giménez,TOR,167.0,1.62,162.6,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.0
663743,0.207,1053,4,,105,,0.2308,156,11.5,0.2255,204,8.9,0.1887,159,-8.9,0.1947,190,-5.9,0.2594,239,25.3,Nick Fortes,TB,185.0,1.6,119.9,"{'Apr': 0.0, 'May': 0.167, 'Jun': 0.208, 'Jul': 0.208, 'Aug': 0.208, 'Sep': 0.208}",6.0
