batter,xw_szn,pa_szn,xw_L42,pa_L42,xw_L21,pa_L21,xw_L7,pa_L7,k,name,pos,tm,own,inj
545121,0.3172788225352113,355,0.33530015384615386,91,0.36449758928571424,56,0.28880300000000003,12,ildemaro vargas,Ildemaro Vargas,2B,Ari,26.1,ACTIVE
621438,0.3171106,170,0.41173863235294117,68,0.4323004210526316,38,0.3990425999999999,15,tyrone taylor,Tyrone Taylor,CF,ChC,0.72,ACTIVE
672580,0.3169100136054422,294,,0,,0,,0,maikel garcia,Maikel Garcia,3B,KC,62.42,TEN_DAY_DL
669899,0.31687416949152547,59,,0,,0,,0,ryan ward,Ryan Ward,LF,LAD,0.11,ACTIVE
677870,0.31673025974025976,154,0.32266358064516126,62,0.27209400000000006,22,0.2424932142857143,14,leo jimenez,Leo Jimenez,2B,Mia,0.04,ACTIVE
683679,0.3166916909090909,55,0.3006734285714286,14,0.2767661818181818,11,,0,jesus rodriguez,Jesus Rodriguez,C,SF,0.24,TEN_DAY_DL
800325,0.3165917922077922,77,0.3165917922077922,77,0.2893558,50,0.23941183333333335,18,luis lara,Luis Lara,CF,Mil,2.55,ACTIVE
641933,0.3162953783783784,222,0.3905788484848485,66,0.35431062222222226,45,0.49855644444444436,18,tyler oneill,Tyler O'Neill,RF,Bal,1.24,ACTIVE
655316,0.3161964089068826,247,0.36087751754385966,114,0.3354308169014084,71,0.34964370370370373,27,andruw monasterio,Andruw Monasterio,SS,Bos,9.66,ACTIVE
686894,0.316019731707317,82,,0,,0,,0,joey wiemer,Joey Wiemer,RF,FA,2.5,ACTIVE
678011,0.31562465100671133,149,0.31405085714285713,112,0.28736548076923074,52,0.3690987222222223,18,anthony seigler,Anthony Seigler,3B,Bos,0.76,ACTIVE
694371,0.3154931194029851,134,0.32053462499999996,32,,0,,0,tommy troy,Tommy Troy,2B,Ari,0.3,TEN_DAY_DL
686469,0.31547990060240966,332,0.3059002045454546,44,0.33018696296296296,27,,0,vinnie pasquantino,Vinnie Pasquantino,1B,KC,40.82,TEN_DAY_DL
696285,0.31541486079545455,352,0.3643979310344827,87,0.37146214285714285,56,0.29777715384615383,26,jacob young,Jacob Young,CF,Wsh,1.74,ACTIVE
694208,0.3151258121827411,197,0.351723304347826,23,0.351723304347826,23,0.351723304347826,23,moises ballesteros,Moises Ballesteros,DH,LAA,1.86,ACTIVE
665923,0.31505334640522875,153,0.3134820508474576,59,0.26129373333333333,30,0.3286544,5,esteury ruiz,Esteury Ruiz,LF,Mia,1.53,ACTIVE
667670,0.31503150248756223,201,,0,,0,,0,brent rooker,Brent Rooker,DH,Oak,42.11,SIXTY_DAY_DL
666211,0.31502874999999997,180,0.35568678571428575,84,0.38442787500000003,56,0.4326795,16,taylor trammell,Taylor Trammell,CF,Hou,0.61,ACTIVE
642350,0.31489250757575754,132,0.30565518518518525,54,0.3216609428571428,35,0.44135035714285714,14,jose siri,Jose Siri,CF,LAA,0.1,ACTIVE
685133,0.31434645454545457,187,0.30624480519480524,77,0.29019168085106384,47,0.28461433333333336,24,wade meckler,Wade Meckler,CF,LAA,0.76,ACTIVE
657041,0.3137826272189349,338,0.31179733613445376,119,0.20015189285714285,56,0.17209049999999998,10,lane thomas,Lane Thomas,CF,Atl,1.47,ACTIVE
678218,0.31335050467289716,214,0.25025540425531917,47,0.294266,24,0.087609,8,brandon valenzuela,Brandon Valenzuela,C,Tor,1.19,ACTIVE
606192,0.31326019504643965,323,0.26902937190082643,121,0.27636745312500005,64,0.19963157894736844,19,teoscar hernandez,Teoscar Hernandez,RF,LAD,50.53,ACTIVE
669016,0.3129090921348314,445,0.2815077898550724,138,0.28561715277777777,72,0.35056110344827585,29,brandon marsh,Brandon Marsh,CF,Phi,38.6,ACTIVE
650859,0.31254948453608244,291,0.35141683720930234,86,0.35690174358974364,78,0.28438828571428576,28,luis rengifo,Luis Rengifo,3B,SD,2.74,ACTIVE
695731,0.31251807881773397,203,0.3150139926470588,136,0.31957884000000003,75,0.34807656000000003,25,braden montgomery,Braden Montgomery,CF,ChW,4.93,ACTIVE
643217,0.3123464941520468,342,0.28045950000000003,94,0.25079488461538463,52,0.16547975,12,andrew benintendi,Andrew Benintendi,LF,ChW,3.34,ACTIVE
643396,0.3122650769230769,130,,0,,0,,0,isiah kinerfalefa,Isiah Kiner-Falefa,SS,Bos,0.41,TEN_DAY_DL
680474,0.3122220804597702,87,0.30816771428571427,42,0.2036976875,16,,0,max schuemann,Max Schuemann,2B,NYY,0.1,ACTIVE
691458,0.3117940821917808,146,0.32436919354838706,93,0.3227560517241379,58,0.4399604166666667,12,blaze jordan,Blaze Jordan,1B,StL,1.59,ACTIVE
691788,0.31176188888888884,225,0.3109749888888889,90,0.3330629375,48,0.14777657142857142,14,joe mack,Joe Mack,C,Mia,2.28,ACTIVE
687637,0.31149897674418603,215,0.31731621276595745,94,0.32954018965517246,58,0.24983885,20,dylan beavers,Dylan Beavers,LF,Bal,0.87,ACTIVE
671289,0.3114844064748202,278,0.28467876712328766,73,0.25275,28,0.245,8,tyler freeman,Tyler Freeman,RF,Col,0.37,ACTIVE
678577,0.3108766388888889,36,0.3057391304347826,23,1.0919999999999999,2,,0,junior perez,Junior Perez,CF,ChW,0.02,ACTIVE
680700,0.31043667636363637,275,0.32733677777777775,81,0.307487,41,0.44349377777777776,18,richie palacios,Richie Palacios,LF,TB,0.41,ACTIVE
668901,0.3101833070866141,254,0.3058329230769231,13,,0,,0,mark vientos,Mark Vientos,3B,NYM,1.99,TEN_DAY_DL
668885,0.31001521846153846,325,0.3047820140845071,71,0.2896206818181818,44,0.292218947368421,19,austin martin,Austin Martin,LF,Min,0.67,ACTIVE
622268,0.3099734782608696,138,0.32084466,50,0.26318746875,32,0.269812,6,donovan walton,Donovan Walton,2B,Oak,0.23,ACTIVE
573262,0.30976617,300,0.3731536533333333,75,0.3385798684210527,38,0.41423933333333335,12,mike yastrzemski,Mike Yastrzemski,RF,Atl,1.25,ACTIVE
663330,0.3094308267716535,127,0.3541910800000001,25,0.3388391176470588,17,0.391875,8,jahmai jones,Jahmai Jones,RF,Bos,0.11,ACTIVE
668723,0.3091539263157894,190,0.30745541509433955,53,0.29212652,25,0.2868,5,ryan vilade,Ryan Vilade,RF,TB,0.18,ACTIVE
657656,0.3091035902439025,205,,0,,0,,0,ramon laureano,Ramon Laureano,LF,SD,4.09,SIXTY_DAY_DL
695657,0.3086870889370933,461,0.26623126428571425,140,0.2075831891891892,74,0.3170532962962963,27,colson montgomery,Colson Montgomery,SS,ChW,34.06,ACTIVE
671732,0.3085242347826087,345,0.2946316470588236,119,0.3248124090909091,66,0.2705726666666667,24,lawrence butler,Lawrence Butler,RF,Oak,9.8,ACTIVE
686475,0.30841192553191493,94,0.2978649122807018,57,0.3059774193548388,31,0.32583885714285715,7,tyler tolbert,Tyler Tolbert,CF,KC,1.02,ACTIVE
650489,0.30835073214285713,392,0.32326354545454533,110,0.3823103015873016,63,0.4206818181818182,22,willi castro,Willi Castro,RF,Col,20.06,ACTIVE
687551,0.30826507835820893,268,0.3382692696629213,89,0.3811543921568627,51,0.31880600000000003,18,drew gilbert,Drew Gilbert,RF,SF,0.2,ACTIVE
694378,0.3082527218543047,151,0.32119602531645575,79,0.2621686304347826,46,0.24763276470588239,17,jacob gonzalez,Jacob Gonzalez,2B,Pit,0.84,ACTIVE
676439,0.3081847409638554,166,0.31843401851851844,54,0.359828,24,0.42676355555555556,9,hunter feduccia,Hunter Feduccia,C,LAD,0.16,ACTIVE
543760,0.3080560616966581,389,0.2738219594594595,74,0.3016742307692308,65,0.28559823076923085,26,marcus semien,Marcus Semien,2B,NYM,36.06,ACTIVE
641857,0.30805253736654803,281,0.3166330864197531,81,0.3039461176470588,51,0.33753895238095244,21,ryan mcmahon,Ryan McMahon,3B,NYY,0.98,ACTIVE
642708,0.3080319695431472,197,0.24957587037037032,54,0.27763341935483865,31,0.22332720000000003,5,amed rosario,Amed Rosario,3B,NYY,0.63,ACTIVE
808975,0.3079004885496183,131,,0,,0,,0,hyeseong kim,Hyeseong Kim,2B,LAD,0.89,ACTIVE
679822,0.30783663087248325,149,0.21285801694915255,59,0.13943970370370373,27,0.2059857777777778,9,justin foscue,Justin Foscue,2B,Tex,0.16,ACTIVE
682818,0.3078055388888889,180,0.27055799999999997,37,0.27020744999999996,20,,0,yohendrick pinango,Yohendrick Pinango,LF,Tor,0.17,ACTIVE
602104,0.30720358823529414,68,,0,,0,,0,ramon urias,Ramon Urias,3B,StL,0.09,SIXTY_DAY_DL
703601,0.307153,42,0.307153,42,0.307153,42,0.23313477777777777,27,max clark,Max Clark,CF,Det,31.0,ACTIVE
694377,0.3067527674418605,86,,0,,0,,0,nick yorke,Nick Yorke,2B,Pit,0.09,DAY_TO_DAY
686555,0.3066136675257732,388,0.2956144954954955,111,0.2940934285714286,63,0.348132,19,isaac collins,Isaac Collins,LF,KC,0.65,ACTIVE
700932,0.3064291436619718,355,0.2833168260869565,92,0.318369054054054,37,,0,kyle manzardo,Kyle Manzardo,DH,Cle,2.43,ACTIVE
695490,0.30632538686131383,137,0.28749015492957747,71,0.2889926296296296,27,,0,edwin arroyo,Edwin Arroyo,SS,Cin,0.33,ACTIVE
683357,0.30630841635687733,269,0.33016982222222224,45,0.25949621739130435,23,0.29142065,20,owen caissie,Owen Caissie,RF,Mia,2.61,ACTIVE
691026,0.306188581655481,447,0.3162256382978723,141,0.32511958974358973,78,0.3891090434782609,23,masyn winn,Masyn Winn,SS,StL,5.61,ACTIVE
664761,0.3061712025862069,464,0.33819838513513517,148,0.3352256282051282,78,0.35730046428571427,28,alec bohm,Alec Bohm,3B,Phi,17.81,ACTIVE
642086,0.30608556877323423,269,0.24578552702702697,74,0.24880777419354835,31,0.1466,10,dominic smith,Dominic Smith,1B,Atl,2.15,ACTIVE
701852,0.30594438805970153,67,0.2930924166666667,60,0.26731943478260867,23,0.28483885714285717,7,drew cavanaugh,Drew Cavanaugh,C,SF,0.03,ACTIVE
502671,0.3049891162079511,327,0.23158173529411766,102,0.25921544827586207,58,0.288234,8,paul goldschmidt,Paul Goldschmidt,1B,NYY,6.2,ACTIVE
676572,0.30452751063829786,47,0.28046105555555556,18,0.4574,5,0.1915,2,eric wagaman,Eric Wagaman,1B,NYM,0.06,ACTIVE
666181,0.3045125,110,,0,,0,,0,will benson,Will Benson,RF,Cin,0.09,ACTIVE
696030,0.30441106103286386,213,0.2611741612903226,62,0.26099889655172415,29,0.249,2,alejandro osuna,Alejandro Osuna,LF,Tex,0.08,ACTIVE
673237,0.30430109401709404,234,0.34076778260869567,92,0.34563060784313726,51,0.24137485714285714,21,yainer diaz,Yainer Diaz,C,Hou,42.75,ACTIVE
663837,0.30407730795847754,289,0.30379643548387103,62,0.32078947368421057,19,,0,matt vierling,Matt Vierling,CF,Det,0.2,TEN_DAY_DL
542303,0.30405380797101444,276,0.2544879215686275,51,0.2502678461538462,26,,0,marcell ozuna,Marcell Ozuna,DH,FA,3.65,ACTIVE
669224,0.303061321969697,264,0.3341648701298701,77,0.3897174523809523,42,0.3201531666666667,18,austin wells,Austin Wells,C,NYY,6.05,ACTIVE
805300,0.3028805135135135,444,0.31134032110091747,109,0.3177515,54,0.43902065000000007,20,jakob marsee,Jakob Marsee,CF,Mia,26.02,ACTIVE
691019,0.3025079857142858,70,0.2859636,50,0.154,1,,0,kyle teel,Kyle Teel,C,ChW,4.22,TEN_DAY_DL
643446,0.3024198080229226,349,0.29941773749999995,80,0.3069212884615385,52,0.2516245714285715,14,jeff mcneil,Jeff McNeil,2B,Oak,5.47,ACTIVE
703607,0.30239907407407407,270,0.29032111965811963,117,0.3030478461538462,65,0.29268,25,henry bolte,Henry Bolte,RF,Oak,2.25,ACTIVE
691907,0.3022555,44,0.31250039393939394,33,0.08616666666666667,6,,0,tsungche cheng,Tsung-Che Cheng,SS,Bos,0.07,ACTIVE
691723,0.30184477516778524,298,0.3631421791044776,67,0.3131751162790698,43,0.317,17,coby mayo,Coby Mayo,1B,Bal,1.36,ACTIVE
641598,0.30183932885906045,149,0.2780608620689655,29,0.18942314285714287,14,,0,mitch garver,Mitch Garver,C,FA,0.12,ACTIVE
807713,0.30182444520547946,146,,0,,0,,0,matt shaw,Matt Shaw,3B,ChC,1.71,TEN_DAY_DL
683146,0.3016020506666666,375,0.31382104081632656,98,0.2401885,38,0.30606666666666665,15,brett baty,Brett Baty,3B,NYM,2.72,ACTIVE
677592,0.30155301086956526,92,0.2933752666666667,15,0.2933752666666667,15,0.43415724999999994,4,everson pereira,Everson Pereira,CF,StL,0.08,ACTIVE
687529,0.301492625,40,0.301492625,40,0.32291094594594594,37,0.35161135294117646,17,grant mccray,Grant McCray,RF,SF,0.03,ACTIVE
677588,0.3014087672413793,232,0.3208922253521127,71,0.24108448780487807,41,0.28164875,16,jose tena,Jose Tena,3B,Wsh,0.08,ACTIVE
671976,0.3012019023668639,338,0.29788514159292034,113,0.28039271666666665,60,0.28227184615384615,13,tristan peters,Tristan Peters,CF,ChW,2.04,ACTIVE
683953,0.3011906576086957,368,0.2882223680555555,144,0.3301778533333333,75,0.3039882631578948,19,travis bazzana,Travis Bazzana,2B,Cle,20.08,ACTIVE
694388,0.30111893220338987,118,0.19914285714285715,7,,0,,0,joey loperfido,Joey Loperfido,LF,Hou,0.15,ACTIVE
665877,0.30106483950617274,243,0.31872735964912285,114,0.33528586206896555,58,0.3470769523809524,21,jose fermin,Jose Fermin,2B,StL,0.21,ACTIVE
679845,0.30068335,280,0.27025682051282046,117,0.273969125,64,0.17588126315789476,19,nick loftin,Nick Loftin,LF,KC,0.88,ACTIVE
641680,0.30061600760456275,263,0.2998061875,128,0.30404082666666665,75,0.17516978260869565,23,jonah heim,Jonah Heim,C,Oak,4.27,ACTIVE
656555,0.3003423039215686,306,0.3539011714285715,70,0.38190429729729725,37,0.32027657142857147,14,rhys hoskins,Rhys Hoskins,1B,Cle,1.4,ACTIVE
686765,0.3003217159090909,88,0.29913327083333335,48,0.29913327083333335,48,0.3053213103448276,29,nick sogard,Nick Sogard,1B,Bos,0.53,ACTIVE
663647,0.29933184210526315,171,0.2655727291666667,48,0.2814822162162162,37,0.15776923076923074,13,kebryan hayes,Ke'Bryan Hayes,3B,Cin,0.36,ACTIVE
