batter,player_name,team,cur_n,cur_rate,pct_rank,n_comparable,n_bounce_eval,bounce_pct,median_next_rate,median_delta,unprecedented
650333,Luis Arraez,SF,32,0.3456,21.4,173,173.0,94.8,0.3924,0.0842,False
805779,Jacob Wilson,ATH,33,0.3056,17.5,21,21.0,100.0,0.325,0.0517,False
701762,Nick Kurtz,ATH,33,0.2157,3.5,3,3.0,100.0,0.495,0.3322,False
664034,Ty France,SD,16,0.4643,94.6,778,760.0,52.0,0.2709,0.0042,False
607043,Brandon Nimmo,TEX,33,0.3197,61.6,628,628.0,86.6,0.3069,0.066,False
673548,Seiya Suzuki,CHC,21,0.337,72.8,370,367.0,71.1,0.2786,0.0715,False
691016,Tyler Soderstrom,ATH,32,0.2826,54.3,125,125.0,98.4,0.3251,0.1457,False
514888,Jose Altuve,HOU,32,0.2867,14.3,205,205.0,97.1,0.3431,0.113,False
680777,Ryan Jeffers,MIN,26,0.3619,88.6,419,419.0,63.7,0.2512,0.0444,False
543807,George Springer,TOR,18,0.24,20.9,281,281.0,95.7,0.3202,0.1791,False
676391,Ernie Clement,TOR,33,0.3597,76.9,280,280.0,71.4,0.345,0.0562,False
695734,Daylen Lile,WSH,34,0.2384,6.9,4,4.0,100.0,0.4269,0.2055,False
642086,Dominic Smith,ATL,25,0.4306,93.5,660,652.0,62.4,0.2537,0.0392,False
671277,Luis García Jr.,WSH,33,0.1875,16.4,93,93.0,96.8,0.2759,0.1126,False
669134,Luis Campusano,SD,17,0.3704,74.2,115,99.0,54.5,0.2414,0.0103,False
609280,Miguel Andujar,SD,23,0.3494,65.0,286,285.0,78.9,0.3,0.066,False
681624,Andy Pages,LAD,34,0.3037,74.9,176,176.0,81.2,0.2874,0.0886,False
664040,Brandon Lowe,PIT,30,0.3704,81.5,582,582.0,54.1,0.2624,0.0147,False
666018,Jonathan Aranda,TB,33,0.2817,65.4,119,119.0,96.6,0.2906,0.1131,False
668715,Spencer Steer,CIN,32,0.2417,36.0,163,163.0,90.8,0.297,0.1055,False
621493,Taylor Ward,BAL,34,0.3718,83.4,551,551.0,69.7,0.2906,0.0685,False
643446,Jeff McNeil,ATH,33,0.3675,45.2,398,398.0,70.6,0.3465,0.0533,False
672640,Otto Lopez,MIA,33,0.3262,74.4,169,169.0,81.1,0.3064,0.0606,False
681082,Bryson Stott,PHI,28,0.1887,22.7,123,123.0,100.0,0.2687,0.1262,False
802139,JJ Wetherholt,STL,34,0.33974358974358976,,0,,,,,True
593428,Xander Bogaerts,SD,32,0.3209,46.2,677,677.0,77.8,0.32,0.073,False
669016,Brandon Marsh,PHI,30,0.2982,85.9,483,483.0,61.9,0.1733,0.0335,False
807799,Masataka Yoshida,BOS,20,0.3443,57.7,164,160.0,80.0,0.33,0.0954,False
666182,Bo Bichette,NYM,34,0.16,5.7,41,41.0,100.0,0.2956,0.1618,False
664770,Nathan Lukes,TOR,19,0.2364,19.3,29,18.0,100.0,0.2971,0.1353,False
695657,Colson Montgomery,CWS,34,0.2929,63.2,24,24.0,75.0,0.3003,0.0672,False
621043,Carlos Correa,HOU,31,0.3358,59.1,721,721.0,74.3,0.3168,0.0683,False
808982,Jung Hoo Lee,SF,33,0.3256,45.4,69,69.0,97.1,0.3433,0.0452,False
803011,Sam Antonacci,CWS,16,0.4098360655737705,,0,,,,,True
672761,Wenceel Pérez,DET,20,0.2459,52.9,100,90.0,81.1,0.2239,0.0767,False
695600,Carter Jensen,KC,31,0.2,,0,,,,,True
808959,Munetaka Murakami,CWS,34,0.28859060402684567,,0,,,,,True
670623,Isaac Paredes,HOU,30,0.3175,44.1,233,233.0,88.8,0.35,0.0873,False
807712,Luke Keaschall,MIN,34,0.1888111888111888,0.0,0,,,,,True
607208,Trea Turner,PHI,33,0.2297,13.7,167,167.0,81.4,0.2886,0.0996,False
660821,Jesús Sánchez,TOR,33,0.2544,65.7,352,352.0,71.0,0.2255,0.0527,False
662139,Daulton Varsho,TOR,31,0.3089,79.3,470,470.0,60.4,0.2574,0.0283,False
575929,Willson Contreras,BOS,33,0.2887,52.5,543,543.0,72.6,0.2822,0.0535,False
664023,Ian Happ,CHC,32,0.3197,75.7,827,827.0,64.4,0.2611,0.0496,False
686217,Sal Frelick,MIL,31,0.281,55.6,173,173.0,81.5,0.285,0.0457,False
691023,Jordan Walker,STL,33,0.338,95.8,228,228.0,51.8,0.1443,0.0068,False
665487,Fernando Tatis Jr.,SD,32,0.1367,1.7,11,11.0,100.0,0.3054,0.1849,False
681198,TJ Rumfield,COL,35,0.30714285714285716,,0,,,,,True
596142,Gary Sánchez,MIL,23,0.375,82.1,681,677.0,59.7,0.22,0.0401,False
642708,Amed Rosario,NYY,20,0.3433,85.2,828,818.0,63.7,0.2376,0.0412,False
680977,Brendan Donovan,SEA,18,0.4366,86.1,403,396.0,56.3,0.3433,0.0129,False
657757,Gavin Sheets,SD,29,0.2708,58.8,322,321.0,77.3,0.25,0.0792,False
608348,Carson Kelly,CHC,25,0.3646,73.4,449,448.0,75.0,0.2698,0.1118,False
807713,Matt Shaw,CHC,29,0.3023,64.5,60,56.0,89.3,0.29,0.1022,False
687462,Spencer Horwitz,PIT,32,0.3362,64.9,122,122.0,76.2,0.315,0.1057,False
621020,Dansby Swanson,CHC,33,0.2857,75.6,936,936.0,68.4,0.2294,0.0405,False
677594,Julio Rodríguez,SEA,35,0.2368,41.0,227,227.0,92.1,0.2624,0.1047,False
669477,Casey Schmitt,SF,27,0.3578,100.0,190,190.0,62.6,0.2338,0.0428,False
679529,Spencer Torkelson,DET,34,0.2424,64.4,311,311.0,72.0,0.2079,0.038,False
672515,Gabriel Moreno,AZ,15,0.2222,30.0,87,87.0,93.1,0.335,0.1786,False
702332,Caleb Durbin,BOS,32,0.19672131147540983,0.0,0,,,,,True
671289,Tyler Freeman,COL,18,0.3188,72.4,202,195.0,70.3,0.2736,0.0657,False
672960,Kazuma Okamoto,TOR,33,0.2391304347826087,,0,,,,,True
664702,Myles Straw,TOR,23,0.3898,99.3,605,591.0,56.0,0.198,0.0143,False
681481,Kerry Carpenter,DET,32,0.1835,10.8,36,36.0,97.2,0.3292,0.2023,False
641487,J.P. Crawford,SEA,27,0.2783,62.5,562,562.0,77.6,0.26,0.0599,False
686527,Dominic Canzone,SEA,29,0.3,69.0,120,118.0,78.8,0.2655,0.0812,False
682985,Riley Greene,DET,35,0.2621,67.0,303,303.0,71.3,0.2365,0.052,False
696100,Hunter Goodman,COL,32,0.1791,29.4,60,60.0,96.7,0.2445,0.1231,False
643289,Mauricio Dubón,ATL,33,0.3053,69.6,398,398.0,70.6,0.26,0.0501,False
694384,Nolan Schanuel,LAA,32,0.2681,36.0,99,99.0,94.9,0.315,0.096,False
663728,Cal Raleigh,SEA,33,0.1497,18.4,108,108.0,95.4,0.2494,0.1893,False
701538,Jackson Merrill,SD,31,0.1471,5.5,13,13.0,100.0,0.325,0.1976,False
592885,Christian Yelich,MIL,15,0.25,35.0,487,481.0,92.3,0.2941,0.133,False
521692,Salvador Perez,KC,33,0.1799,15.8,201,201.0,97.0,0.2822,0.1554,False
680757,Steven Kwan,CLE,32,0.2552,4.2,23,23.0,100.0,0.38,0.1283,False
660688,Keibert Ruiz,WSH,21,0.2,13.5,61,51.0,92.2,0.315,0.1521,False
682657,Angel Martínez,CLE,29,0.3,97.3,145,145.0,55.2,0.1741,0.0155,False
691594,Javier Sanoja,MIA,25,0.2895,52.5,53,52.0,100.0,0.3458,0.1443,False
500743,Miguel Rojas,LAD,21,0.3036,56.3,632,630.0,81.1,0.2871,0.0731,False
669224,Austin Wells,NYY,25,0.2283,48.9,110,108.0,78.7,0.2098,0.0485,False
664761,Alec Bohm,PHI,32,0.1069,11.8,81,81.0,100.0,0.2587,0.2216,False
805300,Jakob Marsee,MIA,33,0.11920529801324503,0.0,0,,,,,True
605137,Josh Bell,MIN,33,0.2222,21.5,269,269.0,95.9,0.2759,0.0908,False
668227,Randy Arozarena,SEA,35,0.2671,59.7,453,453.0,74.2,0.2574,0.0763,False
641343,Jake Bauers,MIL,31,0.2683,91.9,523,523.0,59.7,0.1478,0.0331,False
687221,Dalton Rushing,LAD,17,0.5614,100.0,35,19.0,100.0,0.2707,0.3167,False
665833,Oneil Cruz,PIT,33,0.1908,52.5,181,181.0,79.6,0.1634,0.0579,False
668885,Austin Martin,MIN,27,0.4,100.0,99,98.0,79.6,0.28,0.0419,False
650859,Luis Rengifo,MIL,29,0.213,41.1,260,260.0,85.4,0.215,0.0943,False
678554,Curtis Mead,WSH,26,0.358,100.0,125,117.0,67.5,0.175,0.0495,False
571448,Nolan Arenado,AZ,31,0.2586,9.1,138,138.0,92.8,0.33,0.1069,False
593871,Jorge Polanco,NYM,14,0.1639,18.7,200,200.0,94.0,0.3094,0.2277,False
691718,Pete Crow-Armstrong,CHC,34,0.1286,30.9,76,76.0,98.7,0.2673,0.1962,False
673237,Yainer Diaz,HOU,25,0.217,17.1,64,64.0,92.2,0.2811,0.1466,False
671218,Heliot Ramos,SF,32,0.1587,26.5,74,74.0,94.6,0.2078,0.082,False
694497,Evan Carter,TEX,34,0.157,25.3,24,24.0,100.0,0.2761,0.1833,False
666176,Jo Adell,LAA,35,0.1854,56.0,232,232.0,80.6,0.165,0.1166,False
655316,Andruw Monasterio,BOS,16,0.2549,74.0,128,126.0,72.2,0.1823,0.0632,False
650402,Gleyber Torres,DET,32,0.2917,50.3,503,503.0,73.4,0.2703,0.0649,False
687859,Troy Johnston,COL,31,0.2966,57.1,8,8.0,100.0,0.3014,0.0538,False
682626,Francisco Alvarez,NYM,30,0.2243,46.2,120,120.0,89.2,0.2382,0.1253,False
663837,Matt Vierling,DET,22,0.2179,49.3,208,200.0,89.5,0.2185,0.0927,False
665926,Andrés Giménez,TOR,31,0.2773,67.8,421,421.0,67.7,0.2398,0.0452,False
673357,Luis Robert Jr.,NYM,24,0.2449,56.2,306,306.0,77.8,0.2173,0.0837,False
668804,Bryan Reynolds,PIT,35,0.2692,42.6,389,389.0,79.7,0.2562,0.0733,False
542303,Marcell Ozuna,PIT,29,0.0909,4.3,58,58.0,100.0,0.2544,0.2136,False
641584,Jake Fraley,TB,24,0.2162,35.1,152,141.0,91.5,0.2637,0.1234,False
699912,Jose Fernandez,AZ,26,0.24742268041237114,,0,,,,,True
680776,Jarren Duran,BOS,29,0.1148,13.2,63,63.0,100.0,0.209,0.1572,False
683737,Michael Busch,CHC,33,0.1931,28.8,85,85.0,95.3,0.255,0.1472,False
543760,Marcus Semien,NYM,34,0.1203,3.4,52,52.0,100.0,0.2953,0.2071,False
694671,Wyatt Langford,TEX,20,0.1667,34.3,85,85.0,90.6,0.2836,0.1538,False
666969,Adolis García,PHI,33,0.1729,43.6,315,315.0,80.0,0.18,0.0653,False
657656,Ramón Laureano,SD,31,0.1515,27.3,189,189.0,87.3,0.2118,0.1212,False
657041,Lane Thomas,KC,24,0.2667,66.3,366,359.0,75.8,0.2426,0.0865,False
690993,Colt Keith,DET,31,0.2115,34.1,87,87.0,96.6,0.2822,0.1271,False
702222,Justin Crawford,PHI,29,0.2523364485981308,,0,,,,,True
663697,Jonathan India,KC,16,0.2069,29.5,190,179.0,98.3,0.2941,0.1399,False
624585,Jorge Soler,LAA,31,0.2256,45.5,471,471.0,87.0,0.2488,0.0941,False
606192,Teoscar Hernández,LAD,30,0.1885,36.6,387,387.0,93.0,0.2206,0.1168,False
663743,Nick Fortes,TB,27,0.2697,80.1,273,269.0,61.3,0.2,0.0375,False
802415,Chandler Simpson,TB,33,0.2606,38.7,29,29.0,100.0,0.2857,0.0486,False
602104,Ramón Urías,STL,22,0.2353,53.6,269,257.0,73.9,0.215,0.0568,False
663616,Trevor Larnach,MIN,27,0.3441,96.4,400,397.0,59.4,0.2426,0.0178,False
687957,Dustin Harris,HOU,17,0.25,66.66666666666666,2,,,,,False
669065,Kyle Stowers,MIA,12,0.1321,41.4,87,82.0,92.7,0.1588,0.225,False
701350,Roman Anthony,BOS,29,0.17829457364341086,0.0,0,,,,,True
663886,Tyler Stephenson,CIN,26,0.1183,13.7,71,71.0,95.8,0.1719,0.0807,False
680700,Richie Palacios,TB,21,0.2222,41.4,70,69.0,100.0,0.3085,0.164,False
664728,Kyle Isbel,KC,27,0.2421,72.1,312,310.0,70.0,0.2074,0.0354,False
669236,Jeremiah Jackson,BAL,30,0.2411,15.8,3,3.0,33.3,0.2205,-0.0139,False
694377,Nick Yorke,PIT,22,0.1923,100.0,12,5.0,100.0,0.2035,0.093,False
656775,Cedric Mullins,TB,28,0.0796,7.7,59,59.0,100.0,0.2611,0.24,False
605170,Victor Caratini,MIN,25,0.1881,34.7,235,235.0,90.6,0.2217,0.0847,False
667472,Dane Myers,CIN,22,0.283,88.7,126,110.0,60.0,0.1825,0.0547,False
642201,Eli White,ATL,20,0.2264,86.7,183,163.0,71.8,0.1532,0.0676,False
668901,Mark Vientos,NYM,26,0.2308,54.4,155,152.0,87.5,0.2488,0.1182,False
664983,Jake McCarthy,COL,23,0.2877,68.9,261,252.0,88.5,0.2461,0.074,False
701807,Carson Benge,NYM,30,0.11320754716981132,,0,,,,,True
670770,TJ Friedl,CIN,31,0.1493,0.2,1,1.0,100.0,0.4428,0.3012,False
701675,Nathan Church,STL,29,0.22115384615384615,,0,,,,,True
592626,Joc Pederson,TEX,31,0.1505,10.9,142,142.0,97.2,0.2675,0.1718,False
665019,Kody Clemens,MIN,24,0.1556,29.2,66,66.0,100.0,0.2203,0.1629,False
665862,Jazz Chisholm Jr.,NYY,32,0.1231,6.4,35,35.0,100.0,0.235,0.1334,False
642715,Willy Adames,SF,32,0.0809,6.1,61,61.0,100.0,0.27,0.2302,False
686797,Brooks Lee,MIN,31,0.2521,66.9,105,105.0,83.8,0.2376,0.0591,False
686555,Isaac Collins,KC,27,0.1429,16.5,18,18.0,100.0,0.2921,0.1665,False
665750,Leody Taveras,BAL,25,0.314,88.2,434,429.0,59.9,0.1741,0.0336,False
669394,Jake Burger,TEX,34,0.1064,11.2,46,46.0,100.0,0.2966,0.2287,False
667670,Brent Rooker,ATH,18,0.026,8.1,41,41.0,100.0,0.2886,0.29,False
687263,Zach Neto,LAA,35,0.1534,12.7,42,42.0,97.6,0.2843,0.1918,False
676356,Jonny DeLuca,TB,23,0.2917,69.0,80,71.0,84.5,0.2525,0.144,False
663647,Ke'Bryan Hayes,CIN,26,0.0889,11.9,71,71.0,100.0,0.165,0.1039,False
668904,Royce Lewis,MIN,22,0.1071,16.1,38,38.0,100.0,0.2861,0.2065,False
592206,Nick Castellanos,SD,21,0.0615,5.4,81,80.0,100.0,0.2531,0.2285,False
687551,Drew Gilbert,SF,17,0.25,16.666666666666664,3,,,,,False
643217,Andrew Benintendi,CWS,32,0.0278,0.1,1,1.0,100.0,0.3596,0.3437,False
687637,Dylan Beavers,BAL,26,0.15789473684210525,0.0,0,,,,,True
646240,Rafael Devers,SF,33,0.0294,0.6,7,7.0,100.0,0.4483,0.468,False
592663,J.T. Realmuto,PHI,18,0.2206,33.1,443,435.0,94.0,0.2637,0.1039,False
677587,Brayan Rocchio,CLE,34,0.3543,100.0,232,232.0,71.1,0.195,0.0409,False
663586,Austin Riley,ATL,35,0.1419,9.3,73,73.0,93.2,0.2167,0.1976,False
621438,Tyrone Taylor,NYM,24,0.1719,31.1,152,143.0,88.8,0.2277,0.12,False
687093,Vaughn Grissom,LAA,16,0.4211,98.7,78,64.0,50.0,0.1605,0.001,False
519317,Giancarlo Stanton,NYY,23,0.1522,20.6,220,218.0,96.8,0.2815,0.2007,False
682663,Agustín Ramírez,MIA,31,0.2016,12.3,13,13.0,84.6,0.22,0.0358,False
691026,Masyn Winn,STL,29,0.24,49.8,141,141.0,87.9,0.2772,0.072,False
666310,Bo Naylor,CLE,24,0.025,14.1,40,40.0,100.0,0.1762,0.2064,False
678882,Ceddanne Rafaela,BOS,31,0.188,53.7,160,160.0,96.2,0.209,0.1021,False
681715,Heriberto Hernández,MIA,22,0.1216,20.0,13,13.0,100.0,0.2333,0.1528,False
671732,Lawrence Butler,ATH,32,0.0982,29.1,81,81.0,100.0,0.2687,0.1936,False
666152,David Hamilton,MIL,27,0.1717,51.4,74,74.0,93.2,0.1766,0.0536,False
630105,Jake Cronenworth,SD,30,0.1081,0.4,3,3.0,100.0,0.3498,0.2476,False
641933,Tyler O'Neill,BAL,16,0.1852,45.3,276,274.0,96.4,0.2357,0.1607,False
672820,Lenyn Sosa,TOR,24,0.1299,28.9,80,76.0,100.0,0.2069,0.1441,False
677950,Alek Thomas,AZ,25,0.1413,30.0,109,107.0,91.6,0.1535,0.0777,False
666139,Josh Lowe,LAA,28,0.0625,11.1,41,41.0,100.0,0.3235,0.2992,False
687401,Joey Ortiz,MIL,24,0.04819277108433735,0.0,0,,,,,True
702284,Cole Young,SEA,35,0.2174,12.5,5,5.0,100.0,0.2178,0.0318,False
665966,Carlos Narváez,BOS,21,0.0811,4.9,5,5.0,100.0,0.2574,0.1774,False
665561,Rafael Marchán,PHI,15,-0.018518518518518517,0.0,0,,,,,True
656305,Matt Chapman,SF,33,0.1631,21.6,240,240.0,94.6,0.2045,0.098,False
663968,Jake Mangum,PIT,25,0.1519,19.6,18,18.0,100.0,0.2369,0.1572,False
665804,Miguel Amaya,CHC,19,0.2419,56.0,94,91.0,64.8,0.2167,0.1019,False
664056,Harrison Bader,SF,14,-0.0577,3.7,32,32.0,100.0,0.2325,0.3537,False
805367,Chase Meidroth,CWS,32,0.1871,14.8,13,13.0,100.0,0.266,0.1125,False
669701,Josh Smith,TEX,30,0.1574,28.0,115,115.0,91.3,0.194,0.0879,False
696285,Jacob Young,WSH,31,0.1597,30.4,77,77.0,96.1,0.1724,0.0798,False
676609,José Caballero,NYY,32,0.225,86.5,257,257.0,58.4,0.1225,0.0157,False
543877,Christian Vázquez,HOU,17,0.4,89.5,794,783.0,62.5,0.2315,0.0385,False
656555,Rhys Hoskins,CLE,26,0.1915,21.9,189,185.0,95.1,0.27,0.1445,False
543309,Kyle Higashioka,TEX,14,0.0926,28.1,125,124.0,100.0,0.2114,0.1784,False
693304,Nick Gonzales,PIT,32,0.2381,64.8,125,125.0,70.4,0.2139,0.076,False
643376,Danny Jansen,TEX,23,0.1111,15.2,84,82.0,100.0,0.2709,0.2134,False
694212,Samuel Basallo,BAL,26,0.23,100.0,6,6.0,50.0,0.1681,0.0027,False
595879,Javier Báez,DET,24,0.2195,58.0,722,717.0,77.7,0.1912,0.0783,False
624428,Adam Frazier,LAA,22,0.1875,21.3,247,237.0,87.8,0.2426,0.0978,False
804606,Konnor Griffin,PIT,28,0.17543859649122806,,0,,,,,True
573262,Mike Yastrzemski,ATL,32,0.0734,3.9,31,31.0,100.0,0.255,0.2007,False
691785,Marcelo Mayer,BOS,29,0.2268,100.0,14,12.0,100.0,0.2008,0.0461,False
678391,Jorbit Vivas,WSH,28,0.25609756097560976,,0,,,,,True
656484,Tristan Gray,MIN,18,0.1475,48.1,13,13.0,100.0,0.2214,0.3881,False
676914,Davis Schneider,TOR,22,0.1077,38.6,86,86.0,83.7,0.2195,0.2171,False
808975,Hyeseong Kim,LAD,22,0.2794,73.0,27,14.0,28.6,0.0685,-0.0755,False
686681,Michael Massey,KC,21,0.0746,12.3,41,41.0,100.0,0.225,0.2139,False
670042,Luke Raley,SEA,30,0.1458,37.6,127,126.0,95.2,0.1921,0.1445,False
666181,Will Benson,CIN,25,0.1754,61.3,192,188.0,82.4,0.1386,0.0998,False
701358,Cam Smith,HOU,34,0.1679,56.0,56,56.0,100.0,0.1681,0.0767,False
687231,Darell Hernaiz,ATH,18,0.2281,65.3,49,38.0,78.9,0.2369,0.0633,False
623168,Tyler Heineman,TOR,19,-0.03508771929824561,0.0,0,,,,,True
596115,Trevor Story,BOS,32,0.036,4.4,45,45.0,100.0,0.1921,0.2051,False
664954,Brett Sullivan,COL,17,0.2321,100.0,24,10.0,100.0,0.1725,0.1091,False
686894,Joey Wiemer,WSH,21,0.2273,84.4,114,102.0,53.9,0.1337,0.0163,False
663368,Blake Perkins,MIL,18,0.0189,18.1,36,29.0,100.0,0.1782,0.1891,False
553993,Eugenio Suárez,CIN,25,0.12,15.8,239,239.0,97.5,0.2,0.1455,False
677649,Ezequiel Duran,TEX,24,0.2727,85.9,275,268.0,64.2,0.134,0.0438,False
660162,Yoán Moncada,LAA,31,0.0762,14.7,117,117.0,100.0,0.2,0.1792,False
641857,Ryan McMahon,NYY,29,0.0698,8.7,88,84.0,94.0,0.2143,0.1869,False
680728,Adrian Del Castillo,AZ,18,0.1212,66.7,34,22.0,68.2,0.1032,0.0416,False
686780,Pedro Pagés,STL,21,0.2,82.2,125,122.0,37.7,0.125,-0.0177,False
683083,Nasim Nuñez,WSH,30,0.1379,8.6,3,3.0,100.0,0.2012,0.0891,False
682177,Daniel Schneemann,CLE,27,0.2581,84.4,146,144.0,59.7,0.145,0.0411,False
682668,Luisangel Acuña,CWS,26,0.0814,36.5,19,13.0,92.3,0.0865,0.0462,False
680574,Matt McLain,CIN,33,0.1329,36.5,73,73.0,82.2,0.16,0.0703,False
669357,Nolan Gorman,STL,33,0.1349,41.3,160,160.0,85.6,0.155,0.1165,False
682877,Juan Brito,CLE,15,0.017857142857142856,,0,,,,,True
671976,Tristan Peters,CWS,29,0.13253012048192772,,0,,,,,True
810938,Ben Williamson,TB,28,0.1771,90.9,50,50.0,100.0,0.1871,0.0916,False
666023,Freddy Fermin,SD,17,0.1385,20.7,52,49.0,98.0,0.2239,0.177,False
694728,Brice Matthews,HOU,25,0.09210526315789473,,0,,,,,True
695506,Jac Caglianone,KC,30,0.1727,75.8,25,25.0,100.0,0.1793,0.0653,False
