rank,player_name,team,pos,own,playoff_fp,pg,pa_tg,fp_pa,slot
197,Jake Burger,TEX,1B,FA,36.728542502575614,25,3.08,0.476994058475008,4.9817
127,Heriberto Hernández,MIA,OF,FA,36.56748694997496,25,2.8582,0.5117554677765722,4.5735
161,Bryce Eldridge,SF,DH,FA,36.48151239184828,25,2.9838,0.489061095138391,4.3836
41,Spencer Horwitz,PIT,1B,FA,36.473577041949035,24,2.5435,0.5974965114007771,4.4521
56,Vinnie Pasquantino,KC,1B,FA,36.29953201087503,24,2.6558,0.5695009038531238,3.5769
214,Nathan Lukes,TOR,OF,FA,35.897438372187,24,3.1801,0.4703394858152652,2.5072
48,Javier Sanoja,MIA,3B,FA,35.84693605649944,25,2.4682,0.5809405405801708,7.8442
232,Salvador Perez,KC,DH,FA,35.588144141726765,24,3.2087,0.4621308751951306,4.3063
307,Jo Adell,CLE,OF,FA,35.33515436842273,25,3.2861,0.4301166047098108,4.9649
264,Brayan Rocchio,CLE,SS,FA,35.25403287004915,25,3.147,0.4480970177317973,6.9474
87,Max Muncy,LAD,3B,MINE,35.195565131931886,25,2.6074,0.5399334989941227,5.5354
133,Dominic Canzone,SEA,DH,FA,35.13383067746234,25,2.7629,0.508651499185093,5.3793
163,Cedric Mullins,TB,OF,FA,35.051819533795786,26,2.7612,0.4882467424112675,5.6667
124,Isaac Collins,KC,OF,FA,34.96924937433481,24,2.8462,0.5119289077590999,7.3265
137,Trevor Larnach,MIN,OF,FA,34.856114056587266,25,2.7571,0.5056924167652572,2.3976
193,Jasson Domínguez,NYY,OF,FA,34.82099397299281,25,2.9137,0.4780312863094046,4.3137
72,Masataka Yoshida,BOS,DH,FA,34.69919646854817,25,2.5232,0.55008237901947,4.129
348,Nick Gonzales,PIT,3B,FA,34.47226378344824,24,3.4742,0.4134316747194587,4.6296
236,Luis Rengifo,SD,OF,FA,34.312106067430044,25,2.9786,0.4607816567169817,5.5075
183,Garrett Mitchell,MIL,OF,FA,34.24144062165853,25,2.8417,0.4819852992456421,5.2872
117,Nathaniel Lowe,CLE,DH,FA,33.96279903857472,25,2.6354,0.5154860596277563,5.0
329,Jake Cronenworth,SD,2B,FA,33.80999725097096,25,3.2225,0.4196741318972345,5.8438
52,Jared Young,NYM,1B,FA,33.42651273759129,25,2.3265,0.5747090090280041,5.0714
164,Lars Nootbaar,AZ,OF,FA,33.403695231410154,24,2.8513,0.48813545913867,5.0208
283,Carter Jensen,KC,C,FA,33.29781342275609,24,3.1654,0.4383044457619376,3.2451
266,Cam Smith,HOU,OF,FA,33.2447320596465,25,2.9705,0.4476651346190406,6.4231
160,Colt Keith,DET,3B,FA,32.8265860734436,26,2.5776,0.4898203766390261,3.6829
246,Lawrence Butler,ATH,OF,FA,32.60398960444157,25,2.8603,0.4559520274718256,6.1818
320,Ezequiel Duran,TEX,SS,MINE,32.493338505744106,25,3.0713,0.4231867744048983,5.4175
356,Austin Riley,ATL,3B,FA,32.43399461661596,25,3.1637,0.4100767407354169,5.7759
172,Yainer Diaz,HOU,C,FA,32.18263930414803,25,2.6562,0.4846418086612158,6.8214
81,Griffin Conine,MIA,OF,FA,31.912906376733655,25,2.3415,0.5451702989832784,5.6154
302,Vaughn Grissom,LAA,2B,FA,31.91077755427609,25,2.9546,0.4320148589220346,4.2836
315,Braden Montgomery,CWS,OF,FA,31.73764211465974,26,2.8661,0.4259022863373673,6.0204
313,Willi Castro,COL,2B,FA,31.733621299760173,25,2.98,0.4259546483189285,4.4457
292,Jac Caglianone,KC,OF,FA,31.491444212288584,24,3.0143,0.4353062100140523,4.8269
171,Gavin Sheets,SD,1B,FA,31.24469006000644,25,2.5756,0.4852413427551862,4.9368
151,Andrew Vaughn,MIL,1B,FA,31.21349212932477,25,2.5268,0.494118919254785,4.8704
116,Brendan Donovan,SEA,3B,FA,31.09568066206654,25,2.4106,0.515982422003925,2.5926
84,Joc Pederson,TEX,DH,FA,30.964191738019892,25,2.2816,0.5428504862906713,2.4432
290,Dylan Crews,WSH,OF,FA,30.739715852041762,23,3.07,0.4353450765053358,4.6825
281,Jonah Heim,ATH,C,FA,30.45199571408877,25,2.771,0.4395813166956157,5.381
295,Luis Robert Jr.,NYM,OF,FA,30.40449398609877,25,2.8062,0.4333902642163605,4.1667
113,Jeff McNeil,ATH,2B,FA,30.38353364691347,25,2.3427,0.5187780534752802,7.3372
247,Paul Goldschmidt,NYY,1B,FA,30.339840041852344,25,2.6622,0.4558611680843265,2.7746
254,Matt McLain,CIN,2B,FA,30.074588328604836,25,2.6598,0.4522834548252475,5.5476
316,Tommy White,ATH,3B,FA,30.069478463006128,25,2.8252,0.4257323865638698,5.2381
298,Teoscar Hernández,LAD,OF,FA,29.922229774882947,25,2.7665,0.4326366134087539,6.0366
190,Francisco Alvarez,NYM,C,FA,29.845377014123336,25,2.4898,0.4794823200919486,6.9737
182,Evan Carter,TEX,OF,FA,29.615000421553653,25,2.4568,0.4821719378305708,5.9518
314,Henry Bolte,ATH,OF,FA,29.559789247239443,25,2.7761,0.425918219764986,6.0588
180,José Caballero,NYY,SS,FA,29.387352996793382,25,2.4337,0.4830069934140343,7.7143
174,Michael Massey,KC,2B,FA,29.354677605649123,24,2.5256,0.4842855428025209,6.8023
88,Oneil Cruz,PIT,OF,FA,29.178297906379534,24,2.2519,0.5398829489612389,2.4426
108,Ildemaro Vargas,AZ,1B,FA,29.04980758803994,24,2.3124,0.5234425918965855,5.4875
212,Andrew Benintendi,CWS,DH,FA,28.861327252488692,26,2.356,0.4711591885282861,4.241
80,Spencer Steer,CIN,1B,FA,28.85281911690161,25,2.107,0.5477516680949522,5.163
275,Kyle Karros,COL,3B,FA,28.83447503946683,25,2.5986,0.4438463024623541,6.6392
192,Andruw Monasterio,BOS,SS,FA,28.799092659715605,25,2.4043,0.4791264427852698,6.5818
382,Eugenio Suárez,CIN,DH,FA,28.644087163629464,25,2.9194,0.3924653992413436,4.9286
155,Justin Crawford,PHI,OF,FA,28.59761987661828,25,2.3252,0.4919597432757316,8.5714
140,Victor Mesa Jr.,TB,OF,FA,28.453390106051177,26,2.1654,0.505385221171629,5.9024
154,Lane Thomas,ATL,OF,FA,28.270610162724825,25,2.2977,0.4921549403790717,3.9054
128,Maikel Garcia,KC,3B,FA,28.195139605882947,24,2.3015,0.5104486133297659,1.4545
241,Nasim Nuñez,WSH,2B,FA,28.160463713595885,23,2.6724,0.4581529664524948,7.9216
185,Tyler Stephenson,CIN,C,FA,27.99988859779322,25,2.3251,0.4816977953256758,6.9012
206,Jacob Young,WSH,OF,FA,27.97415074200044,23,2.5664,0.47391966317224,6.9032
258,Nathan Church,STL,OF,FA,27.767936997359598,24,2.5664,0.4508250369739648,7.5233
251,Austin Martin,MIN,OF,FA,27.676486824088087,25,2.4411,0.4535084482256046,3.0
177,Jonny DeLuca,TB,OF,FA,27.467833097789843,26,2.1857,0.4833486384891628,5.3654
291,J.T. Realmuto,PHI,C,FA,27.46012604062518,25,2.5231,0.4353394798561322,6.8
248,Nick Loftin,KC,3B,FA,27.396504577390882,24,2.5079,0.455170072195045,6.3134
319,Jackson Holliday,BAL,2B,FA,27.390888064566834,25,2.5861,0.4236632468128353,7.6491
372,Zach McKinstry,DET,2B,FA,27.36283681687078,26,2.6422,0.3983108018503051,7.4051
245,J.P. Crawford,SEA,SS,FA,26.8659488044804,25,2.3526,0.4567873638439242,2.8795
340,Dylan Beavers,BAL,OF,FA,26.761056536734962,25,2.5628,0.4176846657832833,4.5926
293,Andrés Giménez,TOR,SS,FA,26.64854581320409,24,2.5513,0.4352118823933565,8.0909
196,Tristan Peters,CWS,OF,FA,26.602527604535855,26,2.1443,0.4771599769789649,7.6404
202,Troy Johnston,COL,OF,FA,26.263072387479923,25,2.2087,0.4756295085340685,5.7841
370,Nick Sogard,BOS,2B,FA,26.240886391320007,25,2.6273,0.3995110781611541,4.6364
327,Kyle Manzardo,CLE,1B,FA,26.175365769113117,25,2.491,0.4203190007083599,4.1829
153,Tyler Freeman,COL,OF,FA,25.930111134548795,25,2.1056,0.4925932966289665,4.125
170,Blaze Jordan,STL,3B,FA,25.64939434751834,24,2.199,0.4860048951705006,7.7436
86,Carlos Cortes,ATH,OF,FA,24.85521291493039,25,1.841,0.5400372170544354,4.3871
142,Curtis Mead,BOS,3B,FA,24.641258177887696,25,1.9685,0.5007113675974132,2.5873
374,Tim Tawa,AZ,OF,FA,24.406110904295737,24,2.5584,0.3974833050652709,7.5778
391,Leody Taveras,BAL,OF,FA,24.35967685877378,25,2.5002,0.3897236518482326,6.3294
220,Jared Triolo,PIT,SS,FA,24.334331779363406,24,2.1637,0.4686095534532554,7.697
244,TJ Friedl,CIN,OF,FA,23.90158479055493,25,2.0908,0.4572715666836604,3.8421
286,Wade Meckler,LAA,OF,FA,23.87086588335485,25,2.1821,0.4375760209587984,4.8936
255,David Hamilton,MIL,3B,FA,23.790669922139703,25,2.1068,0.4516929926360301,8.641
271,Luis Lara,MIL,OF,FA,23.732848948267176,25,2.1244,0.4468621530458892,6.4211
280,Cooper Pratt,MIL,SS,FA,23.722441116209854,25,2.1481,0.4417381149147592,7.9756
230,José Fermín,STL,OF,FA,23.68406376242888,24,2.1308,0.4631293364469699,6.7736
263,Brent Rooker,ATH,DH,FA,23.649153576404924,25,2.1098,0.4483676855892487,3.8511
336,Carson Kelly,CHC,C,FA,23.595345185360262,25,2.2542,0.4186912463021961,6.4444
443,Ezequiel Tovar,COL,SS,FA,23.46852052251241,25,2.5966,0.3615269278674021,6.8431
390,Jorge Polanco,NYM,DH,FA,23.3716528260389,25,2.3982,0.3898199120346743,5.1613
334,Victor Caratini,MIN,C,FA,23.33551612255893,25,2.2273,0.4190816885477291,6.0
234,Joe Mack,MIA,C,FA,23.294993010405307,25,2.0178,0.4617899298325961,8.2419
213,Christian Encarnacion-Strand,BAL,3B,FA,23.122893142528874,25,1.965,0.4706950258021145,6.0
216,Drew Gilbert,SF,OF,FA,22.90116137494489,25,1.9489,0.4700325593913467,7.971
330,Noelvi Marte,CIN,OF,FA,22.852699346345833,25,2.1787,0.4195657841161396,6.8367
223,Mike Yastrzemski,ATL,OF,FA,22.850868098102058,25,1.9564,0.4672023737088951,7.1467
194,Pedro Ramírez,CHC,2B,FA,22.668924063586125,25,1.897,0.4779952359216896,7.2083
169,Zack Gelof,ATH,3B,FA,22.525344802306023,25,1.853,0.4862459752251705,6.3279
344,Denzer Guzman,LAA,3B,FA,22.444967632574127,25,2.1566,0.4163028402591881,5.7317
203,Carlos Correa,HOU,SS,FA,22.425762057663324,25,1.8871,0.4753486737886349,2.7812
364,Coby Mayo,BAL,3B,FA,22.399431329181198,25,2.2169,0.404157721668658,6.675
285,Jim Jarvis,ATL,SS,FA,22.35708208931024,25,2.0426,0.4378161576287132,8.7931
109,Sal Frelick,MIL,OF,FA,22.154582292008598,25,1.6933,0.5233468916791731,6.52
224,Jesús Sánchez,TOR,OF,FA,22.05856149220941,24,1.9678,0.4670732436436929,4.5077
217,Joey Ortiz,MIL,SS,FA,21.90282792622554,25,1.8649,0.4697909362695167,8.6757
425,Anthony Seigler,BOS,2B,FA,21.68467091314849,25,2.3306,0.3721731899622156,3.4412
311,Max Kepler,AZ,OF,FA,21.58287139703221,24,2.1026,0.4277020394795375,5.3704
331,Taylor Trammell,HOU,OF,FA,21.35267928989197,25,2.0373,0.4192348557383197,6.4468
409,Ryan Waldschmidt,AZ,OF,FA,21.21902943885656,24,2.3054,0.3835023104966701,7.9608
432,Brett Baty,NYM,3B,FA,21.18363014387571,25,2.3068,0.3673249548097054,6.6327
308,Daniel Susac,SF,C,FA,21.174852033949588,25,1.97,0.4299462341918698,7.5128
418,Dane Myers,CIN,OF,FA,21.131259960253846,25,2.2423,0.3769568739286241,4.6757
77,Moisés Ballesteros,LAA,C,FA,21.109021793155094,25,1.5403,0.5481794921289384,5.2963
226,Tyler O'Neill,BAL,OF,FA,21.023531733136505,25,1.8088,0.4649166681365879,5.5849
277,Richie Palacios,TB,2B,FA,20.963441920310355,26,1.821,0.4427711299858564,6.7361
345,Austin Wells,NYY,C,FA,20.83298233331198,25,2.0028,0.4160771386720986,8.3467
312,Ke'Bryan Hayes,CIN,3B,FA,20.767196449213046,25,1.9461,0.4268474682536981,8.9231
303,Hao-Yu Lee,DET,2B,FA,20.75771016388638,26,1.8492,0.4317399242060263,7.3333
453,Colt Emerson,SEA,SS,FA,20.72808695684238,25,2.3476,0.3531791950390591,8.7077
175,Kerry Carpenter,DET,OF,FA,20.702223213971802,26,1.6445,0.4841832498531655,4.5156
354,Spencer Jones,NYY,OF,FA,20.58774069222762,25,2.0025,0.4112407628909387,6.1111
191,Luis Campusano,SD,C,FA,20.548334047268124,25,1.7152,0.4792055514754693,7.7027
240,Endy Rodríguez,PIT,C,FA,20.53509778092159,24,1.8635,0.4591516362785437,6.7059
379,Ben Williamson,TB,2B,FA,20.52263998628807,26,1.9971,0.3952392504956816,6.371
310,Matt Chapman,SF,3B,FA,20.517537062125193,25,1.9173,0.4280506349997433,4.4337
231,Jacob Gonzalez,PIT,SS,FA,20.21863894846445,24,1.8193,0.4630590279334646,7.4474
473,Taylor Walls,TB,SS,FA,19.690898910161145,26,2.3046,0.3286220019853461,8.4886
400,Javier Báez,DET,SS,FA,19.625231243891147,26,1.9495,0.3871847070035936,8.6129
414,Anthony Volpe,NYY,SS,FA,19.338207261688922,25,2.0395,0.3792734937325604,6.9583
144,Jeremiah Jackson,BAL,2B,FA,19.303958648634513,25,1.5462,0.4993909881938821,7.8947
402,Brenton Doyle,CWS,OF,FA,19.298158361989863,26,1.9196,0.3866622525924845,5.8857
381,Edgar Quero,CWS,C,FA,19.27273978599269,26,1.8824,0.3937841173704741,6.7234
252,Ramón Laureano,SD,OF,FA,19.264832580774094,25,1.7005,0.4531568969308814,3.9375
268,Brandon Valenzuela,TOR,C,FA,19.2048742895714,24,1.7884,0.447440782486473,7.9107
195,Lourdes Gurriel Jr.,AZ,OF,FA,19.131803253802733,24,1.6696,0.4774547609657686,5.4667
469,Brady House,WSH,3B,FA,18.953237206209128,23,2.4454,0.3369811857259794,3.4889
405,Rhys Hoskins,CLE,1B,FA,18.85956773560894,25,1.9588,0.385124928233795,4.4507
181,Ryan Vilade,TB,OF,FA,18.75208071791398,26,1.4942,0.4826889798995599,4.0889
342,Josh Lowe,LAA,OF,FA,18.743954045557327,25,1.7993,0.4166943599301357,7.1613
228,Matt Vierling,DET,OF,FA,18.724928828248714,26,1.5527,0.4638304697090605,4.8154
444,Ryan McMahon,NYY,3B,FA,18.688561832793425,25,2.0707,0.361009549095348,7.6714
218,Dalton Rushing,LAD,C,FA,18.50084371721821,25,1.5753,0.4697732169673893,7.6441
274,Kyle Isbel,KC,OF,FA,18.48291922079524,24,1.7339,0.4441557380470625,9.0
278,Connor Wong,BOS,C,FA,18.46939615932615,25,1.671,0.4421160062076876,8.451
375,Trevor Story,BOS,SS,FA,18.437691314049058,25,1.8578,0.3969790357207247,4.3171
411,Freddy Fermin,SD,C,FA,18.318312341505447,25,1.9167,0.3822885655867991,8.4107
450,Josh Smith,TOR,2B,FA,18.262810336126503,24,2.1307,0.3571363545651371,7.0488
102,Miguel Andujar,SD,DH,FA,17.961463859525438,25,1.3612,0.5278126317815292,5.082
269,Yohendrick Piñango,TOR,OF,FA,17.60242236059933,24,1.6398,0.4472705604494281,4.8696
225,Tyrone Taylor,CHC,OF,FA,17.57511865684773,25,1.5063,0.4667096503179375,7.7368
371,Nicky Lopez,TEX,2B,FA,17.497388221686162,25,1.7547,0.3988690538937975,8.3846
337,Nick Fortes,TB,C,FA,17.474946394118245,26,1.6054,0.4186578565159473,7.873
208,Amed Rosario,NYY,3B,FA,17.400225722123512,25,1.4699,0.4735077412646714,3.8571
350,Romy Gonzalez,BOS,DH,FA,17.261492622771293,25,1.6715,0.4130778970450803,5.125
211,Edmundo Sosa,PHI,OF,FA,17.238547105076076,25,1.4605,0.4721272743601802,6.76
288,Adrian Del Castillo,AZ,DH,FA,17.23651209162897,24,1.6432,0.4370667014470994,5.3673
69,Tyler Tolbert,KC,SS,FA,17.230990412155542,24,1.2979,0.5531689142767657,8.4
159,Jose Fernandez,AZ,DH,FA,17.114994369209505,24,1.4532,0.4907271988602597,6.4762
387,Owen Caissie,MIA,OF,FA,16.94302110288829,25,1.735,0.3906172012193266,6.4533
157,Joshua Kuroda-Grauer,ATH,3B,FA,16.878079831733743,25,1.3742,0.4912845242827461,5.5625
406,Edouard Julien,COL,2B,FA,16.85077604877454,25,1.7511,0.3849186465370234,4.9851
262,Myles Straw,TOR,OF,FA,16.698196013273613,24,1.5513,0.4485000755622599,7.1875
165,Wenceel Pérez,DET,OF,FA,16.68504831190265,26,1.3154,0.487861203725765,7.0476
306,Dominic Smith,ATL,DH,FA,16.67661478470017,25,1.5466,0.431310352636756,6.3077
297,Michael Conforto,CHC,DH,FA,16.58457850194391,25,1.5321,0.432989452436366,5.9545
359,Jorbit Vivas,WSH,3B,FA,16.580983226486303,23,1.7653,0.4083794902821371,7.2969
265,Samuel Basallo,BAL,C,FA,16.555068697746268,25,1.4779,0.4480700642193997,4.9589
458,Max Muncy,ATH,3B,FA,16.54398032231401,25,1.8994,0.3484043449997686,6.8542
186,Alan Roden,MIN,OF,FA,16.53619223314932,25,1.3742,0.4813329132047538,7.0667
289,Bryan Torres,STL,OF,FA,16.528906069421126,24,1.5802,0.4358337043154117,6.9259
462,Carlos Narváez,BAL,C,FA,16.22789808293257,25,1.8883,0.3437567776927939,8.2903
434,Jordan Beck,COL,OF,FA,16.097889651641008,25,1.7615,0.3655495805084532,5.4
321,Mark Vientos,NYM,1B,FA,16.05101327891332,25,1.5193,0.422589699964808,4.95
420,Edwin Arroyo,CIN,2B,FA,15.965255050828347,25,1.7017,0.3752777822372533,8.1081
322,Kyle Teel,CWS,C,FA,15.937012585611262,26,1.4524,0.4220338904733614,4.6875
470,Patrick Bailey,CLE,C,FA,15.931785218487729,25,1.9274,0.3306378586383258,8.2464
446,Blake Dunn,CIN,OF,FA,15.808593380048373,25,1.7636,0.3585528097085138,2.7576
323,Petey Halpin,CLE,OF,FA,15.80212677952476,25,1.4982,0.4218963230416436,8.5
428,LaMonte Wade Jr.,HOU,OF,FA,15.692664328931743,25,1.6945,0.3704376353834581,5.7727
237,Blaze Alexander,BAL,3B,FA,15.564538417915013,25,1.3521,0.460455244964574,8.5469
119,Matt Shaw,CHC,OF,FA,15.473187743313822,25,1.2039,0.5141020929749588,7.3438
279,Jonathan India,KC,2B,FA,15.38299528512603,24,1.4504,0.4419181859350878,6.4286
430,Adolis García,PHI,OF,FA,15.361797877229188,25,1.6695,0.3680574513861441,5.4531
368,José Tena,WSH,DH,FA,15.311779074042839,23,1.6589,0.4013078093666793,5.875
447,Ryan Kreidler,MIN,SS,FA,15.255910337381255,25,1.7044,0.3580359149819586,8.3091
357,Miguel Amaya,CHC,C,FA,15.189231296524962,25,1.4829,0.4097169410351328,8.3462
222,Justin Foscue,TEX,2B,FA,15.110690079234988,25,1.2926,0.4676060677467117,5.1875
467,Henry Davis,PIT,C,FA,15.019747632360604,24,1.8551,0.3373526052584902,8.9242
477,Colton Cowser,BAL,OF,FA,15.0105502252667,25,1.8939,0.3170294149694641,6.9577
383,Drew Romo,CWS,C,FA,14.966844218277037,26,1.4689,0.3918904313085416,8.7674
384,Elias Díaz,TEX,C,FA,14.963927673476746,25,1.5282,0.3916745890191532,8.075
326,Luke Raley,SEA,OF,FA,14.91464339666288,25,1.4162,0.4212581103421234,5.6622
299,Mickey Gasper,BOS,C,FA,14.899465985295603,25,1.3782,0.4324326218341489,3.4074
448,Alejandro Osuna,TEX,OF,FA,14.872650406010502,25,1.6633,0.3576660952566705,6.7759
367,Brandon Lockridge,MIL,OF,FA,14.852297434172884,25,1.4729,0.403348426483071,6.2083
459,Everson Pereira,STL,OF,FA,14.822029411618471,24,1.7744,0.3480526143019817,5.4783
339,Leo Jiménez,MIA,3B,FA,14.771301078787976,25,1.4127,0.4182431111711751,6.8684
463,Daniel Schneemann,CLE,OF,FA,14.720753797825687,25,1.7132,0.3437019331736093,5.6212
341,Giancarlo Stanton,NYY,DH,FA,14.631325329124268,25,1.402,0.417441521515671,4.5217
238,Gary Sánchez,MIL,C,FA,14.617165981875335,25,1.2699,0.4604194340302491,4.9565
365,Jose Trevino,CIN,C,FA,14.55054195615787,25,1.4413,0.403817163842583,7.7778
209,Andrés Chaparro,WSH,1B,FA,14.546394353262823,23,1.3384,0.4725432818310904,3.037
349,James McCann,AZ,C,FA,14.495172694829781,24,1.4621,0.4130808624247595,7.7407
438,Connor Norby,COL,1B,FA,14.467476312214734,25,1.5908,0.3637786349563674,6.4
276,Sung-Mun Song,SD,2B,FA,14.447012364268286,25,1.3047,0.4429221235308741,8.6061
111,Randal Grichuk,CWS,DH,FA,14.433704949661596,26,1.0699,0.5188732573734999,4.2821
317,Donovan Walton,ATH,2B,FA,14.399225784208886,25,1.3559,0.4247872493313337,7.2059
346,Luisangel Acuña,CWS,SS,FA,14.369910853340716,26,1.3337,0.4144026984888977,8.3273
351,Harrison Bader,SF,OF,FA,14.292488600085884,25,1.3854,0.4126602742914937,7.3333
114,Esteury Ruiz,MIA,OF,FA,14.21140321541979,25,1.0962,0.5185697214165221,7.4595
445,Matt Wallner,MIN,OF,FA,14.115395137834769,25,1.5714,0.3593075000085216,6.1212
396,Starling Marte,KC,OF,FA,14.067734166108746,24,1.5088,0.3884912448664708,5.6757
482,Oswald Peraza,LAA,2B,FA,13.993092294996085,25,1.8721,0.2989817273649075,6.6479
480,Logan O'Hoppe,TEX,C,FA,13.86813294235372,25,1.8,0.3081807320523049,8.1493
394,Christian Koss,SF,2B,FA,13.820886043087475,25,1.4226,0.3886091956442422,8.875
110,Jhonny Pereda,SEA,C,FA,13.750396656354882,25,1.0511,0.5232764401619212,8.2
176,Victor Robles,SEA,OF,FA,13.644989262367941,25,1.1285,0.4836504833803435,7.3333
429,Gabriel Rincones Jr.,PHI,OF,FA,13.478845223388184,25,1.4611,0.36900541300084,7.5
439,Jake Meyers,HOU,OF,FA,13.268888748512673,25,1.4599,0.3635560996921069,7.2432
235,LuJames Groover,AZ,1B,FA,13.257207624420392,24,1.1963,0.4617434180535956,7.8571
358,Samad Taylor,SD,OF,FA,13.113084731440988,25,1.2814,0.4093361864036518,4.6087
363,Alek Thomas,LAD,OF,FA,13.075579187639352,25,1.2932,0.4044410512724823,7.8214
304,Joey Loperfido,HOU,OF,FA,13.070508441675527,25,1.2111,0.4316904778028412,6.3704
441,Alika Williams,ATH,SS,FA,12.922216413505577,25,1.4265,0.3623474634000863,8.6176
207,Nick Madrigal,LAA,3B,FA,12.868723945105078,25,1.0862,0.4738988747967254,6.4615
389,Jimmy Crooks,STL,C,FA,12.846918767565644,24,1.3726,0.3899812632827494,7.9032
261,Brett Sullivan,COL,C,FA,12.809389034537263,25,1.1396,0.4496100047222627,8.1579
333,Marcelo Mayer,SF,2B,FA,12.793356226212822,25,1.221,0.4191107690815011,7.2712
401,Drew Cavanaugh,SF,C,FA,12.756725179838059,25,1.3182,0.3870952869014735,8.5
412,Kahlil Watson,CLE,OF,FA,12.739242694702268,25,1.335,0.3817001556465099,5.3478
440,Luis Torrens,NYM,C,FA,12.72190322652207,25,1.4036,0.3625506761619285,8.8364
335,Pavin Smith,AZ,1B,FA,12.692225728470419,24,1.2627,0.4188189900105072,6.0
393,Cam Cauley,TEX,OF,FA,12.64970109335654,25,1.301,0.3889224010255662,7.125
377,Austin Hedges,CLE,C,FA,12.63016546567391,25,1.2773,0.3955269855374277,8.0784
282,Ben Malgeri,DET,OF,FA,12.590882023497487,26,1.1028,0.4391228629048258,8.0909
267,Bo Naylor,MIL,C,FA,12.463562459491111,25,1.1137,0.447645235143795,7.087
